State,State_abb,ECV,Polls_Biden_11_3_538,Polls_Trump_11_3_538,2016_Clinton,2016_Trump
National,,538,51.8,43.4,48.2,46.1
Alabama,AL,9,37.8,57.4,34.6,62.9
Alaska,AK,3,43.6,51.2,37.7,52.9
Arizona,AZ,11,48.7,46.1,45.4,49.5
Arkansas,AR,6,36.2,58.9,33.8,60.4
California,CA,55,61.6,32.4,61.5,33.2
Colorado,CO,9,53.6,41.1,47.2,44.4
Connecticut,CT,7,58.6,32.4,54.5,41.2
Delaware,DE,3,58.9,34.6,53.4,41.9
District of Columbia,DC,3,90.8,5.8,92.8,4.1
Florida,FL,29,49.1,46.6,47.8,49.1
Georgia,GA,16,48.5,47.4,45.6,51.3
Hawaii,HI,4,64.3,30,62.3,30.1
Idaho,ID,4,38.5,56.6,27.6,59.2
Illinois,IL,20,55,39,55.4,39.4
Indiana,IN,11,42,52.9,37.9,57.2
Iowa,IA,6,46.3,47.6,42.2,51.8
Kansas,KS,6,41,53.9,36.2,57.2
Kentucky,KY,8,39.9,55.6,32.7,62.5
Louisiana,LA,8,37.1,57.6,38.4,58.1
Maine,ME,4,53.3,40.3,47.9,45.2
Maryland,MD,10,63.1,31.6,60.5,35.3
Massachusetts,MA,11,64.6,28.9,60.8,33.5
Michigan,MI,16,51.2,43.2,47.3,47.6
Minnesota,MN,10,51.8,42.7,46.9,45.4
Mississippi,MS,6,39.6,55.5,39.7,58.3
Missouri,MO,10,43.6,51.6,38,57.1
Montana,MT,3,45.4,49.8,36,56.5
Nebraska,NE,5,42.5,52.1,34,60.3
Nevada,NV,6,49.7,44.4,47.9,45.5
New Hampshire,NH,4,43.9,42.8,47.6,47.2
New Jersey,NJ,14,58.4,37.9,55,41.8
New Mexico,NM,5,53.9,42.1,48.3,40
New York,NY,29,62.3,32.9,58.8,37.5
North Carolina,NC,15,48.9,47.1,46.7,50.5
North Dakota,ND,3,38.7,56,27.8,64.1
Ohio,OH,18,46.8,47.5,43.5,52.1
Oklahoma,OK,7,36.2,59.2,28.9,65.3
Oregon,OR,7,58.7,37.4,51.7,41.1
Pennsylvania,PA,20,50.2,45.6,47.6,48.8
Rhode Island,RI,4,62.9,32.4,55.4,39.8
South Carolina,SC,9,44.5,51.6,40.8,54.9
South Dakota,SD,3,39,54.5,31.7,61.5
Tennessee,TN,11,41.4,55.1,34.9,61.1
Texas,TX,38,47.4,48.6,43.4,52.6
Utah,UT,6,42.1,51.9,27.8,45.6
Vermont,VT,3,66.5,27.8,61.1,32.6
Virginia,VA,13,53.7,41.9,49.9,45
Washington,WA,12,59.4,36.4,54.4,38.2
West Virginia,WV,5,33.5,62.1,26.5,68.7
Wisconsin,WI,10,52.1,43.7,46.9,47.9
Wyoming,WY,3,30.8,62.3,22.5,70.1
