cycle,state,candidate_name,pct_estimate_biden,pct_trend_adjusted_biden,,pct_estimate_biden,pct_trend_adjusted_trump,State_abb,ECV
2020,Alabama,Joe Biden,38.16043,38.53878,Donald Trump,56.81533,56.84057,AL,9
2020,Alaska,Joe Biden,44.53432,45.07523,Donald Trump,50.0936,50.36042,AK,3
2020,Arizona,Joe Biden,48.6409,49.01059,Donald Trump,44.86427,44.61118,AZ,11
2020,Arkansas,Joe Biden,39.14308,39.70985,Donald Trump,55.53253,55.90443,AR,6
2020,California,Joe Biden,61.4329,61.90282,Donald Trump,31.24436,30.97468,CA,55
2020,Colorado,Joe Biden,51.96038,52.7468,Donald Trump,40.4326,40.20308,CO,9
2020,Connecticut,Joe Biden,56.41931,58.08136,Donald Trump,34.6519,34.28407,CT,7
2020,Delaware,Joe Biden,57.98029,58.49142,Donald Trump,34.45014,34.29625,DE,3
2020,District of Columbia,Joe Biden,85.88469,86.17755,Donald Trump,10.64973,10.64112,DC,3
2020,Florida,Joe Biden,48.27388,48.62347,Donald Trump,45.40638,45.15085,FL,29
2020,Georgia,Joe Biden,47.00149,47.32455,Donald Trump,46.62049,46.4206,GA,16
2020,Hawaii,Joe Biden,61.0275,61.77527,Donald Trump,31.78004,31.90014,HI,4
2020,Idaho,Joe Biden,35.26434,35.70668,Donald Trump,60.06413,60.03888,ID,4
2020,Illinois,Joe Biden,55.45575,55.93433,Donald Trump,38.53899,38.39347,IL,20
2020,Indiana,Joe Biden,40.0754,40.7516,Donald Trump,52.97005,52.97124,IN,11
2020,Iowa,Joe Biden,45.86679,46.20432,Donald Trump,47.4981,47.31364,IA,6
2020,Kansas,Joe Biden,42.48313,42.97546,Donald Trump,50.3516,50.26437,KS,6
2020,Kentucky,Joe Biden,38.02329,38.56382,Donald Trump,56.87031,57.0751,KY,8
2020,Louisiana,Joe Biden,39.1451,39.58617,Donald Trump,53.93918,53.88695,LA,8
2020,Maine,Joe Biden,53.93343,54.17143,Donald Trump,39.60062,39.47181,ME,4
2020,Maryland,Joe Biden,62.3232,63.23799,Donald Trump,31.84027,31.36987,MD,10
2020,Massachusetts,Joe Biden,64.57373,65.39587,Donald Trump,28.91612,28.9529,MA,11
2020,Michigan,Joe Biden,50.08821,50.34821,Donald Trump,42.96446,42.79646,MI,16
