,date,race,poll_grade,Sample,sample_type,pollster,poll_link,Biden,Trump,method,polls,advanced,predictive,grade,banned,Biden_adj,Trump_adj,leader,leader_adj,rep_success,dem_success,other_success
0,2019-02-15 00:00:00.000000,texas,B,743,RV,Public Policy Polling,https://twitter.com/PatrickSvitek/status/1096513104677097472,46.0,49.0,IVR/text,423,-0.4,+0.1, B,,45.7,49.0,Trump,Trump,364.0,340.0,39.0
1,2019-06-04 00:00:00.000000,north-carolina,A-,932,RV,Emerson College,https://emersonpolling.reportablenews.com/pr/north-carolina-2020-biden-with-early-lead-on-trump-and-democratic-primary-field,56.0,44.0,IVR/online/text,165,-0.7,-0.4, A-,,55.7,44.0,Biden,Biden,410.0,519.0,3.0
2,2019-06-06 00:00:00.000000,north-carolina,B/C,730,LV,Spry Strategies,https://www.spryresearch.com/nc-crosstab-report,41.0,52.0,IVR/online/live,4,-1.4,+0.6, B/C,,41.0,51.7,Trump,Trump,377.0,299.0,54.0
3,2019-06-14 00:00:00.000000,michigan,B+,600,LV,EPIC-MRA,https://ssl2002.webhosting.comcast.net/epic-mra/press/Stwd_Survey_June2019_Media_Freq.pdf,52.0,41.0,Live,49,-0.8,-0.2, B+,,52.0,40.8,Biden,Biden,245.0,312.0,43.0
4,2019-06-19 00:00:00.000000,florida,C,"3,095",LV,St. Pete Polls,http://stpetepolls.org/files/StPetePolls_2019_State_Pres_June16_H7CZ.pdf,47.0,47.0,IVR,22,+0.5,+1.0, C,,47.0,46.6,Tie,Biden,1442.0,1455.0,198.0
5,2019-08-01 00:00:00.000000,north-dakota,B/C,400,A,DFM Research,https://www.sayanythingblog.com/entry/poll-trump-leads-biden-among-north-dakotans-in-head-to-head-matchup-has-56-percent-favorable-rating/,39.0,54.0,Live,10,+0.1,+0.5, B/C,,37.5,54.0,Trump,Trump,216.0,150.0,34.0
6,2019-08-08 00:00:00.000000,north-dakota,B/C,500,LV,1892 Polling,https://www.sayanythingblog.com/entry/burgum-polls-himself-against-heidi-heitkamp-ahead-of-2020-campaign/,34.0,60.0,IVR/live,1,-2.3,+0.8, B/C,,34.0,60.0,Trump,Trump,300.0,170.0,30.0
7,2019-09-30 00:00:00.000000,michigan,C/D,804,LV,Target Insyght,https://twitter.com/MIRSnews/status/1178868336211431424,54.0,35.0,IVR/live,6,+3.8,+1.6, C/D,,54.0,34.4,Biden,Biden,277.0,434.0,93.0
8,2020-03-01 00:00:00.000000,texas,A+,"2,409",RV,University of Texas at Tyler,https://www.scribd.com/document/449521374/DMN-UTTyler-Poll-February-2020-Registered-voters,45.0,49.0,Online/live,3,+1.1,+0.9, B/C,,45.0,48.7,Trump,Trump,1173.0,1084.0,152.0
9,2020-03-09 00:00:00.000000,arizona,B/C,"1,000",LV,"Fabrizio, Lee & Associates",https://www.politico.com/f/?id=00000170-bd26-ddcc-a9fe-bdbe57bd0000,45.0,50.0,Live,3,-0.3,+0.4, B/C,,44.8,50.0,Trump,Trump,500.0,448.0,52.0
10,2020-03-16 00:00:00.000000,florida,B/C,"1,100",RV,Latino Decisions,https://st1.uvnimg.com/11/92/701333304b6daa2b6b01e98571db/univisionpolling-march-florida-statewide-final.pdf,45.0,45.0,Online/live/text,2,-2.7,+0.6, B/C,,45.0,45.0,Tie,Tie,495.0,495.0,110.0
