,State1,State2,Corr
235,pennsylvania,michigan,0.9875442499376428
442,michigan,pennsylvania,0.9875442499376428
304,new-hampshire,montana,0.9853428814654929
373,montana,new-hampshire,0.9853428814654929
539,minnesota,wisconsin,0.9805027652736239
263,wisconsin,minnesota,0.9805027652736239
417,maine,ohio,0.9802037524563434
210,ohio,maine,0.9802037524563434
138,ohio,iowa,0.9797462796302282
414,iowa,ohio,0.9797462796302282
249,maine,minnesota,0.9760901534673404
203,minnesota,maine,0.9760901534673404
256,new-hampshire,minnesota,0.9721807379602672
371,minnesota,new-hampshire,0.9721807379602672
544,new-hampshire,wisconsin,0.9713164873347634
383,wisconsin,new-hampshire,0.9713164873347634
357,south-carolina,nevada,0.9706032837721419
495,nevada,south-carolina,0.9706032837721419
538,michigan,wisconsin,0.9679645548403073
239,wisconsin,michigan,0.9679645548403073
541,montana,wisconsin,0.9677028013360939
311,wisconsin,montana,0.9677028013360939
333,south-carolina,nebraska,0.9674494743130271
494,nebraska,south-carolina,0.9674494743130271
350,nebraska,nevada,0.961192521058358
327,nevada,nebraska,0.961192521058358
227,minnesota,michigan,0.9589620292489388
250,michigan,minnesota,0.9589620292489388
139,pennsylvania,iowa,0.9546500989556759
438,iowa,pennsylvania,0.9546500989556759
349,montana,nevada,0.9533597539695828
303,nevada,montana,0.9533597539695828
419,minnesota,ohio,0.9527085845275115
258,ohio,minnesota,0.9527085845275115
222,iowa,michigan,0.9482623808488526
130,michigan,iowa,0.9482623808488526
353,north-carolina,nevada,0.9435005317773748
399,nevada,north-carolina,0.9435005317773748
509,georgia,texas,0.9407015053050317
118,texas,georgia,0.9407015053050317
375,nevada,new-hampshire,0.9393054704386964
352,new-hampshire,nevada,0.9393054704386964
253,montana,minnesota,0.9358114428326775
299,minnesota,montana,0.9358114428326775
234,ohio,michigan,0.9343911650306511
418,michigan,ohio,0.9343911650306511
369,maine,new-hampshire,0.9325826096746787
208,new-hampshire,maine,0.9325826096746787
129,maine,iowa,0.9242278385732062
198,iowa,maine,0.9242278385732062
497,north-carolina,south-carolina,0.9221898901858527
405,south-carolina,north-carolina,0.9221898901858527
455,wisconsin,pennsylvania,0.921402312927218
547,pennsylvania,wisconsin,0.921402312927218
215,wisconsin,maine,0.9167999881452495
537,maine,wisconsin,0.9167999881452495
398,nebraska,north-carolina,0.9143889683368626
329,north-carolina,nebraska,0.9143889683368626
359,wisconsin,nevada,0.914374389763627
543,nevada,wisconsin,0.914374389763627
427,pennsylvania,ohio,0.9127813230969712
450,ohio,pennsylvania,0.9127813230969712
202,michigan,maine,0.9105464805743777
225,maine,michigan,0.9105464805743777
246,iowa,minnesota,0.9095876838078695
131,minnesota,iowa,0.9095876838078695
259,pennsylvania,minnesota,0.9078161028648868
443,minnesota,pennsylvania,0.9078161028648868
549,south-carolina,wisconsin,0.9046822704466653
503,wisconsin,south-carolina,0.9046822704466653
56,louisiana,arkansas,0.9030951441122987
171,arkansas,louisiana,0.9030951441122987
381,south-carolina,new-hampshire,0.9002790156834113
496,new-hampshire,south-carolina,0.9002790156834113
86,nebraska,florida,0.8994252116762177
316,florida,nebraska,0.8994252116762177
319,kansas,nebraska,0.8980462675381018
158,nebraska,kansas,0.8980462675381018
232,new-hampshire,michigan,0.8955252263149871
370,michigan,new-hampshire,0.8955252263149871
493,montana,south-carolina,0.8918797298294313
309,south-carolina,montana,0.8918797298294313
546,ohio,wisconsin,0.8915095294093209
431,wisconsin,ohio,0.8915095294093209
148,florida,kansas,0.8847189788602946
79,kansas,florida,0.8847189788602946
113,north-carolina,georgia,0.8840403272145206
389,georgia,north-carolina,0.8840403272145206
302,nebraska,montana,0.8840278052247826
325,montana,nebraska,0.8840278052247826
491,minnesota,south-carolina,0.8836349278753851
261,south-carolina,minnesota,0.8836349278753851
335,wisconsin,nebraska,0.8825925323487088
542,nebraska,wisconsin,0.8825925323487088
298,michigan,montana,0.8797818406383529
229,montana,michigan,0.8797818406383529
347,minnesota,nevada,0.8766123392898169
255,nevada,minnesota,0.8766123392898169
378,ohio,new-hampshire,0.8671114653202604
424,new-hampshire,ohio,0.8671114653202604
205,montana,maine,0.8658734220372123
297,maine,montana,0.8658734220372123
534,iowa,wisconsin,0.8641491044357528
143,wisconsin,iowa,0.8641491044357528
441,maine,pennsylvania,0.8625916329731347
211,pennsylvania,maine,0.8625916329731347
521,north-carolina,texas,0.8551037563032216
406,texas,north-carolina,0.8551037563032216
93,south-carolina,florida,0.8540627345484326
484,florida,south-carolina,0.8540627345484326
374,nebraska,new-hampshire,0.849899710837292
328,new-hampshire,nebraska,0.849899710837292
110,nebraska,georgia,0.8482754700441308
317,georgia,nebraska,0.8482754700441308
283,pennsylvania,missouri,0.8475526830118522
444,missouri,pennsylvania,0.8475526830118522
462,iowa,rhode-island,0.8347297979088268
140,rhode-island,iowa,0.8347297979088268
468,missouri,rhode-island,0.8326236546847854
284,rhode-island,missouri,0.8326236546847854
379,pennsylvania,new-hampshire,0.8234850855619864
448,new-hampshire,pennsylvania,0.8234850855619864
132,missouri,iowa,0.8204483620127996
270,iowa,missouri,0.8204483620127996
237,south-carolina,michigan,0.8149221042897334
490,michigan,south-carolina,0.8149221042897334
323,minnesota,nebraska,0.8126594483020483
254,nebraska,minnesota,0.8126594483020483
307,pennsylvania,montana,0.8122192253505139
445,montana,pennsylvania,0.8122192253505139
305,north-carolina,montana,0.8082900091288018
397,montana,north-carolina,0.8082900091288018
306,ohio,montana,0.795223039772263
421,montana,ohio,0.795223039772263
366,iowa,new-hampshire,0.794732975104167
136,new-hampshire,iowa,0.794732975104167
489,maine,south-carolina,0.7943436126222427
213,south-carolina,maine,0.7943436126222427
475,pennsylvania,rhode-island,0.7918008745259185
452,rhode-island,pennsylvania,0.7918008745259185
231,nevada,michigan,0.7913483664858078
346,michigan,nevada,0.7913483664858078
400,new-hampshire,north-carolina,0.7903007433537407
377,north-carolina,new-hampshire,0.7903007433537407
230,nebraska,michigan,0.7879392093902734
322,michigan,nebraska,0.7879392093902734
77,georgia,florida,0.7835861139967791
100,florida,georgia,0.7835861139967791
345,maine,nevada,0.782491385531214
207,nevada,maine,0.782491385531214
149,georgia,kansas,0.779911780342208
103,kansas,georgia,0.779911780342208
159,nevada,kansas,0.7777269700838618
343,kansas,nevada,0.7777269700838618
385,alaska,north-carolina,0.7767462994753934
17,north-carolina,alaska,0.7767462994753934
485,georgia,south-carolina,0.7694991755531672
117,south-carolina,georgia,0.7694991755531672
165,south-carolina,kansas,0.7671007578352197
487,kansas,south-carolina,0.7671007578352197
111,nevada,georgia,0.7590893232600965
341,georgia,nevada,0.7590893232600965
87,nevada,florida,0.7589593557817079
340,florida,nevada,0.7589593557817079
535,kansas,wisconsin,0.7586352572764503
167,wisconsin,kansas,0.7586352572764503
274,michigan,missouri,0.7554712627210035
228,missouri,michigan,0.7554712627210035
532,florida,wisconsin,0.7480732632629514
95,wisconsin,florida,0.7480732632629514
157,montana,kansas,0.7425370760950334
295,kansas,montana,0.7425370760950334
505,alaska,texas,0.7411161856907609
22,texas,alaska,0.7411161856907609
220,florida,michigan,0.7396810071432864
82,michigan,florida,0.7396810071432864
466,michigan,rhode-island,0.7344589133002163
236,rhode-island,michigan,0.7344589133002163
429,south-carolina,ohio,0.7342843883825824
498,ohio,south-carolina,0.7342843883825824
294,iowa,montana,0.7335661725948753
133,montana,iowa,0.7335661725948753
545,north-carolina,wisconsin,0.7330226581846763
407,wisconsin,north-carolina,0.7330226581846763
428,rhode-island,ohio,0.7285858845545405
474,ohio,rhode-island,0.7285858845545405
518,nebraska,texas,0.7211214962899813
334,texas,nebraska,0.7211214962899813
453,south-carolina,pennsylvania,0.7209960323629391
499,pennsylvania,south-carolina,0.7209960323629391
154,michigan,kansas,0.7123173860518925
223,kansas,michigan,0.7123173860518925
89,north-carolina,florida,0.7099658058615776
388,florida,north-carolina,0.7099658058615776
331,pennsylvania,nebraska,0.7075167115716982
446,nebraska,pennsylvania,0.7075167115716982
282,ohio,missouri,0.703544116673545
420,missouri,ohio,0.703544116673545
91,pennsylvania,florida,0.6994841179310609
436,florida,pennsylvania,0.6994841179310609
391,kansas,north-carolina,0.6942238043777594
161,north-carolina,kansas,0.6942238043777594
355,pennsylvania,nevada,0.6935604704874703
447,nevada,pennsylvania,0.6935604704874703
423,nevada,ohio,0.6929953536743109
354,ohio,nevada,0.6929953536743109
257,north-carolina,minnesota,0.6918452425908916
395,minnesota,north-carolina,0.6918452425908916
358,texas,nevada,0.6899990680423657
519,nevada,texas,0.6899990680423657
163,pennsylvania,kansas,0.6868836218089972
439,kansas,pennsylvania,0.6868836218089972
321,maine,nebraska,0.6779714281973518
206,nebraska,maine,0.6779714281973518
83,minnesota,florida,0.6748257664996087
244,florida,minnesota,0.6748257664996087
486,iowa,south-carolina,0.6709497732900501
141,south-carolina,iowa,0.6709497732900501
292,florida,montana,0.6539363531380129
85,montana,florida,0.6539363531380129
5,georgia,alaska,0.6527830768252524
97,alaska,georgia,0.6527830768252524
160,new-hampshire,kansas,0.6515347116472359
367,kansas,new-hampshire,0.6515347116472359
511,kansas,texas,0.6437152211319151
166,texas,kansas,0.6437152211319151
525,south-carolina,texas,0.6306021637155348
502,texas,south-carolina,0.6306021637155348
364,florida,new-hampshire,0.628371528166535
88,new-hampshire,florida,0.628371528166535
155,minnesota,kansas,0.6239276293863192
247,kansas,minnesota,0.6239276293863192
422,nebraska,ohio,0.6213605963117393
330,ohio,nebraska,0.6213605963117393
135,nevada,iowa,0.6129751214673577
342,iowa,nevada,0.6129751214673577
92,rhode-island,florida,0.6049960150624989
460,florida,rhode-island,0.6049960150624989
60,missouri,arkansas,0.5909125275602025
267,arkansas,missouri,0.5909125275602025
467,minnesota,rhode-island,0.5881232837004157
260,rhode-island,minnesota,0.5881232837004157
393,maine,north-carolina,0.5866550222974543
209,north-carolina,maine,0.5866550222974543
465,maine,rhode-island,0.5860694642575016
212,rhode-island,maine,0.5860694642575016
287,wisconsin,missouri,0.5845818389332293
