t,VP,VC,I,DPER,DUR,WAR,G,P,Z
1916,51.682,48.881,1,1,0,0,2.229,4.252,3
1920,36.148,37.957,1,0,1,1,-11.463,0,0
1924,41.737,42.093,-1,-1,0,0,-3.872,5.161,10
1928,41.244,42.838,-1,0,-1,0,4.623,0.183,7
1932,59.149,56.874,-1,-1,-1.25,0,-14.361,6.926,4
1936,62.226,58.476,1,1,0,0,11.616,2.467,9
1940,54.983,52.967,1,1,1,0,3.963,0.041,8
1944,53.778,51.718,1,1,1.25,1,4.067,0,0
1948,52.319,53.19,1,1,1.5,1,3.348,0,0
1952,44.71,49.944,1,0,1.75,0,1.027,2.369,7
1956,42.906,50.97,-1,-1,0,0,-1.25,1.894,5
1960,50.087,54.79,-1,0,-1,0,0.643,1.971,5
1964,61.203,57.324,1,1,0,0,5.099,1.234,9
1968,49.425,50.921,1,0,1,0,5.107,3.085,7
1972,38.209,52.66,-1,-1,0,0,5.862,4.812,4
1976,51.049,56.85,-1,0,-1,0,3.828,7.476,5
1980,44.842,51.383,1,1,0,0,-3.596,7.827,5
1984,40.877,52.778,-1,-1,0,0,5.438,5.277,8
1988,46.168,54.011,-1,0,-1,0,2.342,2.817,4
1992,53.621,52.744,-1,-1,-1.25,0,3.053,3.21,3
1996,54.737,50.158,1,1,0,0,3.3,2.04,4
2000,50.262,49.819,1,0,1,0,2.069,1.642,7
2004,48.767,48.632,-1,-1,0,0,2.118,2.085,2
2008,53.689,55.535,-1,0,-1,0,-1.701,2.692,2
2012,52.01,50.681,1,1,0,0,1.094,1.442,2
2016,51.163,50.546,1,0,1,0,1.208,1.411,2
