State,State_abb,ECV,jhk_biden,jhk_trump
National,,538,52.88,43.93
Alabama,AL,9,38.69,58.93
Alaska,AK,3,43.5,48.56
Arizona,AZ,11,50.27,46.48
Arkansas,AR,6,37.22,59.26
California,CA,55,64.47,31.41
Colorado,CO,9,54,41.27
Connecticut,CT,7,59.47,37.06
Delaware,DE,3,60.06,37.26
District of Columbia,DC,3,92.32,3.84
Florida,FL,29,50.95,47.07
Georgia,GA,16,49.36,48.31
Hawaii,HI,4,70.61,25.36
Idaho,ID,4,33.95,60.87
Illinois,IL,20,59.88,37.4
Indiana,IN,11,42.45,54.58
Iowa,IA,6,48.76,48.35
Kansas,KS,6,42.21,53.62
Kentucky,KY,8,38.59,58.9
Louisiana,LA,8,40.33,56.48
Maine,ME,4,55.5,40.5
Maryland,MD,10,65.03,31.98
Massachusetts,MA,11,65.58,29.46
Michigan,MI,16,52.71,44.7
Minnesota,MN,10,52.74,43.63
Mississippi,MS,6,41.62,56.28
Missouri,MO,10,43.76,53.88
Montana,MT,3,43.75,51.63
Nebraska,NE,5,38.35,57.91
Nevada,NV,6,51.6,44.09
New Hampshire,NH,4,52.99,43.7
New Jersey,NJ,14,58.69,38.55
New Mexico,NM,5,56.29,39.66
New York,NY,29,63.99,32.67
North Carolina,NC,15,50.3,47.36
North Dakota,ND,3,34.86,60.34
Ohio,OH,18,48.5,48.56
Oklahoma,OK,7,35.57,62.66
Oregon,OR,7,56.93,37.71
Pennsylvania,PA,20,52.36,45.07
Rhode Island,RI,4,61.88,34.15
South Carolina,SC,9,44.85,52.62
South Dakota,SD,3,37.61,59.06
Tennessee,TN,11,39.5,58.37
Texas,TX,38,47.83,49.62
Utah,UT,6,38.79,54.88
Vermont,VT,3,66.58,27.65
Virginia,VA,13,54.51,42.36
Washington,WA,12,58.6,36.5
West Virginia,WV,5,36.07,61.04
Wisconsin,WI,10,52.13,44.56
Wyoming,WY,3,28.48,66.42
