State,State_abb,ECV,trump_lead
Alabama,AL,9,19.6
Alaska,AK,3,9
Arizona,AZ,11,-3.5
Arkansas,AR,6,24.5
California,CA,55,-26
Colorado,CO,9,-17
Connecticut,CT,7,-23
Delaware,DE,3,-21
District of Columbia,DC,3,-86.8
Florida,FL,29,-2
Georgia,GA,16,-0.3
Hawaii,HI,4,-31.5
Idaho,ID,4,21.6
Illinois,IL,20,-14.6
Indiana,IN,11,8
Iowa,IA,6,-0.3
Kansas,KS,6,9.5
Kentucky,KY,8,17
Louisiana,LA,8,21
Maine,ME,4,-13
Maryland,MD,10,-31
Massachusetts,MA,11,-38.9
Michigan,MI,16,-8
Minnesota,MN,10,-10
Mississippi,MS,6,14
Missouri,MO,10,8
Montana,MT,3,5
Nebraska,NE,5,9
Nevada,NV,6,-7.5
New Hampshire,NH,4,-12
New Jersey,NJ,14,-22
New Mexico,NM,5,-13
New York,NY,29,-31
North Carolina,NC,15,-3
North Dakota,ND,3,15.5
Ohio,OH,18,2
Oklahoma,OK,7,22
Oregon,OR,7,-17
Pennsylvania,PA,20,-6.2
Rhode Island,RI,4,-36
South Carolina,SC,9,7.3
South Dakota,SD,3,12.5
Tennessee,TN,11,14
Texas,TX,38,1
Utah,UT,6,11
Vermont,VT,3,-30.6
Virginia,VA,13,-12
Washington,WA,12,-23
West Virginia,WV,5,20.1
Wisconsin,WI,10,-8
Wyoming,WY,3,34
