Year,Q1GDP,Q2GDP,June Net Approval,Incumbent Present,Incumbent 2+ Terms,Polarization,Incumbent Party Vote Share,Incumbent Party Win
2016,,1.2,6,0,1,1,51.1,0
2012,2,1.3,-0.8,1,0,1,52,1
2008,-1.8,3.3,-30,0,1,-1,46.3,0
2004,2.7,2.6,-0.5,1,0,1,51.2,1
2000,1.1,8,19.5,0,1,1,50.3,0
1996,2.8,7.1,15.5,1,0,1,54.7,1
1992,4.5,4.3,-18,1,1,0,46.5,0
1988,2.1,5.2,10,0,1,0,53.9,1
1984,8,7.1,20,1,0,0,59.2,1
1980,1.3,-7.9,-21.7,1,0,0,44.7,0
1976,9.4,3,5,0,1,0,48.9,0
1972,7.3,9.8,26,1,0,0,61.8,1
1968,8.5,7,-5,0,1,0,49.6,0
1964,9.3,4.7,60.3,1,0,0,61.3,1
1960,9.3,-1.9,37,0,1,0,49.9,0
1956,-1.8,3.2,53.5,1,0,0,57.8,1
1952,4.1,0.4,-27,0,1,0,44.5,0
1948,6.5,7.5,-6,1,1,0,52.4,1
