state,p_decisive_vote
PA,1.568962235016794e-7
NH,1.539796344665925e-7
WI,1.3232675415666893e-7
MI,1.1369338312042953e-7
NV,1.0251458582671607e-7
MN,6.983856186294896e-8
AZ,6.628882777693996e-8
FL,5.582175243072298e-8
NM,4.627457045143957e-8
NC,4.478985500442562e-8
GA,4.161581318698833e-8
VA,3.707502290919302e-8
ME,3.007531487013151e-8
AK,2.3014035718674797e-8
TX,1.9419719313432648e-8
CO,1.905869698431989e-8
IA,1.7861292135212495e-8
OH,1.3908054333463384e-8
IL,6.498204641064707e-9
RI,3.90431160325745e-9
NJ,3.758878047746134e-9
OR,2.845596976063788e-9
CT,2.758963767992774e-9
MS,2.7509625839820012e-9
SC,2.7043739630198392e-9
DE,2.1699239191870105e-9
MT,1.7670310491561781e-9
LA,1.3270702277593078e-9
KS,9.516687363665236e-10
MO,9.29588755156242e-10
WA,8.006329582211236e-10
NY,6.686403469927944e-10
HI,6.620943900419186e-10
SD,4.72927087888302e-10
MD,4.709823386759553e-10
NE,3.691156121934001e-10
UT,3.309025478956508e-10
AR,3.139171327378856e-10
AL,2.968810543058103e-10
TN,2.677122187284721e-10
CA,2.484412349244329e-10
IN,2.3508498877920997e-10
MA,1.6315634110669442e-10
VT,1.478430268714758e-10
ND,1.444459353064305e-10
KY,8.190979211952421e-11
OK,7.349195532067526e-11
ID,6.239872401482597e-11
WY,2.433542483355439e-11
WV,2.411443315620403e-11
DC,1.2266227855548538e-14
