dem_ev,sims
155,2
157,2
159,1
160,4
162,1
166,1
167,3
168,2
171,9
173,4
175,1
176,1
177,2
179,2
180,13
181,2
182,5
183,1
184,3
186,11
187,32
188,1
189,1
190,3
191,55
192,3
193,27
194,1
195,11
196,43
197,33
199,8
200,88
201,19
202,38
203,7
204,66
205,5
206,84
207,7
208,26
209,44
210,75
211,9
212,13
213,116
214,31
215,41
216,49
217,70
218,20
219,98
220,67
221,12
222,27
223,137
224,40
225,20
226,60
227,120
228,24
229,123
230,46
231,24
232,28
233,167
234,32
235,64
236,42
237,101
238,22
239,117
240,60
241,29
242,34
243,182
244,66
245,78
246,62
247,33
248,61
249,150
250,49
251,39
252,27
253,239
254,92
255,104
256,46
257,67
258,44
259,254
260,72
261,32
262,44
263,127
264,69
265,61
266,69
267,17
268,142
269,155
270,147
271,47
272,36
273,481
274,142
275,128
276,54
277,46
278,63
279,689
280,86
281,41
282,84
283,53
284,141
285,123
286,116
287,22
288,319
289,129
290,678
291,60
292,70
293,86
294,401
295,163
296,137
297,117
298,88
299,170
300,151
301,65
302,217
303,135
304,314
305,177
306,225
307,33
308,870
309,98
310,338
311,116
312,139
313,111
314,193
315,120
316,81
317,215
318,135
319,1918
320,50
321,206
322,115
323,583
324,229
325,319
326,107
327,93
328,405
329,267
330,85
331,86
332,117
333,184
334,862
335,453
336,36
337,442
338,36
339,704
340,389
341,315
342,63
343,445
344,86
345,287
346,160
347,294
348,153
349,42
350,849
351,73
352,509
353,170
354,39
355,37
356,366
357,1006
358,1200
359,215
360,58
361,405
362,47
363,530
364,48
365,61
366,145
367,71
368,863
369,39
370,32
371,62
372,413
373,215
374,2184
375,96
376,29
377,632
378,133
379,18
380,92
381,136
382,39
383,451
384,144
385,23
386,160
387,100
388,450
389,72
390,152
391,98
392,30
393,156
394,200
395,30
396,399
397,132
398,7
399,246
400,22
401,59
402,53
403,12
404,16
405,35
406,355
407,15
408,14
409,60
410,21
411,6
412,997
413,14
415,513
416,10
417,2
418,42
419,6
420,12
421,234
422,38
423,7
424,131
425,49
426,10
427,48
428,26
429,15
430,19
431,61
432,11
433,5
434,71
435,14
436,2
437,33
438,5
439,7
440,23
441,1
442,7
443,20
445,16
446,4
447,1
448,18
449,3
451,14
453,1
454,8
456,1
457,3
460,1
462,2
465,1
466,1
468,3
471,2
473,1
477,1
484,1
485,1
488,1
493,1
