date,party,projected_vote_high,projected_vote_low,projected_vote_mean,election_day
2020-10-01,democratic,0.57,0.509,0.541,FALSE
2020-10-01,republican,0.491,0.43,0.459,FALSE
2020-10-02,democratic,0.572,0.509,0.541,FALSE
2020-10-02,republican,0.491,0.428,0.459,FALSE
2020-10-03,democratic,0.573,0.508,0.541,FALSE
2020-10-03,republican,0.492,0.427,0.459,FALSE
2020-10-04,democratic,0.573,0.509,0.541,FALSE
2020-10-04,republican,0.491,0.427,0.459,FALSE
2020-10-05,democratic,0.573,0.51,0.54,FALSE
2020-10-05,republican,0.49,0.427,0.46,FALSE
2020-10-06,democratic,0.575,0.508,0.54,FALSE
2020-10-06,republican,0.492,0.425,0.46,FALSE
2020-10-07,democratic,0.574,0.509,0.54,FALSE
2020-10-07,republican,0.491,0.426,0.46,FALSE
2020-10-08,democratic,0.574,0.51,0.54,FALSE
2020-10-08,republican,0.49,0.426,0.46,FALSE
2020-10-09,democratic,0.573,0.51,0.54,FALSE
2020-10-09,republican,0.49,0.427,0.46,FALSE
2020-10-10,democratic,0.575,0.508,0.54,FALSE
2020-10-10,republican,0.492,0.425,0.46,FALSE
2020-10-11,democratic,0.576,0.508,0.54,FALSE
2020-10-11,republican,0.492,0.424,0.46,FALSE
2020-10-12,democratic,0.577,0.507,0.54,FALSE
2020-10-12,republican,0.493,0.423,0.46,FALSE
2020-10-13,democratic,0.577,0.506,0.54,FALSE
2020-10-13,republican,0.494,0.423,0.46,FALSE
2020-10-14,democratic,0.576,0.508,0.539,FALSE
2020-10-14,republican,0.492,0.424,0.461,FALSE
2020-10-15,democratic,0.576,0.506,0.539,FALSE
2020-10-15,republican,0.494,0.424,0.461,FALSE
2020-10-16,democratic,0.577,0.506,0.539,FALSE
2020-10-16,republican,0.494,0.423,0.461,FALSE
2020-10-17,democratic,0.578,0.507,0.538,FALSE
2020-10-17,republican,0.493,0.422,0.462,FALSE
2020-10-18,democratic,0.578,0.506,0.538,FALSE
2020-10-18,republican,0.494,0.422,0.462,FALSE
2020-10-19,democratic,0.576,0.507,0.538,FALSE
2020-10-19,republican,0.493,0.424,0.462,FALSE
2020-10-20,democratic,0.576,0.506,0.539,FALSE
2020-10-20,republican,0.494,0.424,0.461,FALSE
2020-10-21,democratic,0.575,0.506,0.539,FALSE
2020-10-21,republican,0.494,0.425,0.461,FALSE
2020-10-22,democratic,0.574,0.504,0.538,FALSE
2020-10-22,republican,0.496,0.426,0.462,FALSE
2020-10-23,democratic,0.574,0.506,0.538,FALSE
2020-10-23,republican,0.494,0.426,0.462,FALSE
2020-10-24,democratic,0.574,0.504,0.538,FALSE
2020-10-24,republican,0.496,0.426,0.462,FALSE
2020-10-25,democratic,0.574,0.505,0.538,FALSE
2020-10-25,republican,0.495,0.426,0.462,FALSE
2020-10-26,democratic,0.575,0.505,0.538,FALSE
2020-10-26,republican,0.495,0.425,0.462,FALSE
2020-10-27,democratic,0.574,0.503,0.538,FALSE
2020-10-27,republican,0.497,0.426,0.462,FALSE
2020-10-28,democratic,0.574,0.505,0.538,FALSE
2020-10-28,republican,0.495,0.426,0.462,FALSE
2020-10-29,democratic,0.573,0.505,0.538,FALSE
2020-10-29,republican,0.495,0.427,0.462,FALSE
2020-10-30,democratic,0.573,0.501,0.538,FALSE
2020-10-30,republican,0.499,0.427,0.462,FALSE
2020-10-31,democratic,0.571,0.502,0.538,FALSE
2020-10-31,republican,0.498,0.429,0.462,FALSE
2020-11-01,democratic,0.57,0.501,0.537,FALSE
2020-11-01,republican,0.499,0.43,0.463,FALSE
2020-11-02,democratic,0.568,0.5,0.537,FALSE
2020-11-02,republican,0.5,0.432,0.463,FALSE
2020-11-03,democratic,0.569,0.498,0.537,TRUE
2020-11-03,republican,0.502,0.431,0.463,TRUE
