state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.4201,0.5629,0.5473,0.2452,0.5506,0.2421,0.1839,0.2287,0.3022,0.2296,0.2144,0.6499,0.6831,0.2427,0.6238,0.6939,0.6411,0.2998,0.2409,0.1889,0.5064,0.4956,0.5949,0.5843,0.3112,0.6433,0.4503,0.6906,0.6226,0.4868,0.1927,0.3636,0.3725,0.1979,0.5271,0.6634,0.6059,0.4833,0.3664,0.3689,0.684,0.5457,0.3962,0.5865,0.2774,0.4293,0.5529,0.5816,0.5828,0.6693
AL,0.4201,1,0.7496,0.2289,0.2284,0.2711,0.2017,0.1537,0.4608,0.4093,0.7011,0.2217,0.6088,0.5603,0.1788,0.6829,0.6456,0.7307,0.7612,0.1949,0.1898,0.5161,0.6225,0.5234,0.7087,0.7509,0.5998,0.8078,0.5952,0.527,0.4455,0.1911,0.2047,0.2134,0.1859,0.6394,0.6793,0.4611,0.5468,0.2106,0.8199,0.6023,0.7638,0.225,0.2616,0.5159,0.3634,0.2786,0.5546,0.6785,0.6176
AR,0.5629,0.7496,1,0.303,0.2237,0.3825,0.1915,0.1505,0.4052,0.3875,0.5725,0.2161,0.6675,0.6372,0.1993,0.7246,0.7205,0.7687,0.6473,0.189,0.1733,0.541,0.6286,0.5865,0.7273,0.6414,0.6559,0.7596,0.6763,0.5902,0.483,0.189,0.2097,0.2193,0.1895,0.6512,0.7303,0.5476,0.5668,0.2546,0.7334,0.6835,0.7724,0.2172,0.3555,0.4765,0.4009,0.3758,0.6023,0.7107,0.6876
AZ,0.5473,0.2289,0.303,1,0.5974,0.5991,0.5127,0.1697,0.3585,0.6084,0.2229,0.4544,0.4897,0.5124,0.5483,0.4589,0.4434,0.4138,0.2307,0.5036,0.2089,0.4723,0.5038,0.5107,0.4219,0.2176,0.4557,0.2701,0.4305,0.4943,0.4836,0.5291,0.5907,0.8039,0.5386,0.5038,0.4094,0.5911,0.5531,0.6052,0.2434,0.4296,0.3232,0.5908,0.5507,0.2945,0.3943,0.6739,0.5387,0.405,0.4112
CA,0.2452,0.2284,0.2237,0.5974,1,0.2965,0.3165,0.2608,0.2261,0.3624,0.2351,0.6981,0.237,0.2208,0.3493,0.2279,0.2383,0.2347,0.2278,0.3459,0.2242,0.2511,0.252,0.2523,0.2315,0.2429,0.2345,0.2417,0.2271,0.2204,0.2601,0.5155,0.6498,0.6351,0.5634,0.2463,0.2328,0.2569,0.2666,0.3352,0.2448,0.2215,0.2331,0.6255,0.2473,0.2337,0.2371,0.3349,0.2559,0.2216,0.2213
CO,0.5506,0.2711,0.3825,0.5991,0.2965,1,0.5463,0.1621,0.3247,0.392,0.2237,0.2018,0.6241,0.6278,0.5249,0.567,0.6531,0.5398,0.2128,0.6127,0.2059,0.5634,0.5726,0.7302,0.5679,0.2116,0.616,0.3759,0.5977,0.6392,0.6323,0.4313,0.2442,0.4067,0.4102,0.5947,0.4792,0.7182,0.631,0.6018,0.2728,0.5642,0.4437,0.2637,0.6524,0.5377,0.524,0.7609,0.6458,0.4883,0.5454
CT,0.2421,0.2017,0.1915,0.5127,0.3165,0.5463,1,0.1532,0.6138,0.5968,0.2184,0.2639,0.4666,0.365,0.6426,0.3412,0.3254,0.3084,0.2094,0.7681,0.4323,0.628,0.5672,0.5641,0.3799,0.1926,0.4723,0.2747,0.3455,0.4128,0.6756,0.661,0.291,0.4678,0.5874,0.5155,0.186,0.5524,0.6449,0.7236,0.2376,0.3468,0.2227,0.2305,0.3909,0.5818,0.6447,0.6394,0.5862,0.3382,0.3204
DC,0.1839,0.1537,0.1505,0.1697,0.2608,0.1621,0.1532,1,0.1473,0.1734,0.1673,0.1906,0.1681,0.1589,0.1485,0.1614,0.1691,0.1644,0.1489,0.237,0.5372,0.1666,0.1626,0.1543,0.1518,0.1419,0.1709,0.1655,0.1535,0.1509,0.165,0.3001,0.1584,0.1614,0.3562,0.1537,0.1607,0.1674,0.1669,0.1366,0.1601,0.1529,0.1534,0.1691,0.1518,0.1547,0.166,0.1571,0.1568,0.1619,0.1505
DE,0.2287,0.4608,0.4052,0.3585,0.2261,0.3247,0.6138,0.1473,1,0.647,0.4913,0.198,0.5737,0.441,0.6057,0.5268,0.4125,0.499,0.5181,0.5275,0.4587,0.6579,0.7315,0.5789,0.563,0.3995,0.5289,0.5621,0.4283,0.4714,0.6367,0.437,0.21,0.393,0.4319,0.6735,0.284,0.5239,0.7243,0.5965,0.5606,0.4377,0.4577,0.2279,0.3158,0.6902,0.6133,0.4761,0.6584,0.4968,0.4082
FL,0.3022,0.4093,0.3875,0.6084,0.3624,0.392,0.5968,0.1734,0.647,1,0.3476,0.3179,0.4897,0.435,0.5743,0.4897,0.405,0.4708,0.3772,0.477,0.3545,0.6052,0.654,0.5077,0.5025,0.3036,0.4932,0.4826,0.3544,0.4406,0.5906,0.562,0.4077,0.6317,0.5279,0.6146,0.3726,0.5915,0.707,0.6029,0.472,0.3999,0.4412,0.3101,0.253,0.5213,0.4803,0.541,0.5959,0.5033,0.3996
GA,0.2296,0.7011,0.5725,0.2229,0.2351,0.2237,0.2184,0.1673,0.4913,0.3476,1,0.2061,0.4315,0.3781,0.2226,0.5385,0.4521,0.5587,0.801,0.2345,0.3056,0.336,0.5255,0.363,0.5606,0.7849,0.3788,0.7033,0.4044,0.3685,0.2768,0.2416,0.2378,0.2312,0.2421,0.5264,0.4775,0.2798,0.4336,0.2099,0.7551,0.3926,0.6167,0.253,0.223,0.5045,0.2313,0.21560000000000001,0.3966,0.4896,0.4029
HI,0.2144,0.2217,0.2161,0.4544,0.6981,0.2018,0.2639,0.1906,0.198,0.3179,0.2061,1,0.2155,0.2022,0.1635,0.2092,0.2197,0.2179,0.2242,0.2258,0.188,0.222,0.214,0.2181,0.2145,0.1902,0.2127,0.2202,0.2178,0.2037,0.2245,0.406,0.7007,0.4676,0.3596,0.2115,0.2004,0.2093,0.2175,0.2102,0.2194,0.2101,0.2216,0.4976,0.2028,0.219,0.2105,0.2125,0.2134,0.1943,0.2077
IA,0.6499,0.6088,0.6675,0.4897,0.237,0.6241,0.4666,0.1681,0.5737,0.4897,0.4315,0.2155,1,0.7924,0.4581,0.8148,0.7969,0.8009,0.5227,0.445,0.1966,0.7896,0.8161,0.837,0.8202,0.476,0.8429,0.7036,0.7918,0.779,0.7538,0.2416,0.2456,0.3471,0.2355,0.8243,0.6388,0.7759,0.7847,0.5512,0.6302,0.7823,0.7011,0.258,0.575,0.6374,0.6811,0.6716,0.8493,0.757,0.752
ID,0.6831,0.5603,0.6372,0.5124,0.2208,0.6278,0.365,0.1589,0.441,0.435,0.3781,0.2022,0.7924,1,0.4016,0.7782,0.7869,0.7647,0.473,0.3614,0.1783,0.6599,0.7196,0.7634,0.7622,0.4144,0.7618,0.6159,0.7824,0.7831,0.6459,0.21,0.2233,0.3595,0.2157,0.7475,0.6701,0.7203,0.6997,0.4848,0.5501,0.7599,0.6721,0.2626,0.6406,0.5247,0.5331,0.6214,0.7538,0.7058,0.7525
IL,0.2427,0.1788,0.1993,0.5483,0.3493,0.5249,0.6426,0.1485,0.6057,0.5743,0.2226,0.1635,0.4581,0.4016,1,0.4059,0.3522,0.3434,0.2324,0.6475,0.4007,0.502,0.5873,0.5496,0.4049,0.1683,0.3908,0.2985,0.3499,0.439,0.547,0.5858,0.2111,0.5655,0.6291,0.5502,0.1917,0.5509,0.6422,0.7166,0.2564,0.3268,0.2636,0.2219,0.4908,0.5342,0.475,0.6335,0.5705,0.3128,0.2894
IN,0.6238,0.6829,0.7246,0.4589,0.2279,0.567,0.3412,0.1614,0.5268,0.4897,0.5385,0.2092,0.8148,0.7782,0.4059,1,0.8088,0.8373,0.6169,0.3238,0.1877,0.6757,0.7868,0.7666,0.8333,0.5646,0.7642,0.765,0.7697,0.757,0.6349,0.2133,0.2313,0.3434,0.2169,0.8111,0.7078,0.7169,0.7371,0.4527,0.7025,0.7587,0.7758,0.2437,0.5483,0.6017,0.527,0.582,0.7767,0.7643,0.7474
KS,0.6939,0.6456,0.7205,0.4434,0.2383,0.6531,0.3254,0.1691,0.4125,0.405,0.4521,0.2197,0.7969,0.7869,0.3522,0.8088,1,0.8328,0.5244,0.3312,0.1893,0.6466,0.7121,0.7755,0.8117,0.5035,0.7847,0.7156,0.8026,0.7579,0.634,0.2234,0.2315,0.2773,0.2247,0.7487,0.7529,0.73,0.6859,0.4244,0.6355,0.7809,0.7678,0.2434,0.5808,0.5848,0.5164,0.5939,0.7377,0.7512,0.7798
KY,0.6411,0.7307,0.7687,0.4138,0.2347,0.5398,0.3084,0.1644,0.499,0.4708,0.5587,0.2179,0.8009,0.7647,0.3434,0.8373,0.8328,1,0.6353,0.2791,0.187,0.6718,0.7618,0.7466,0.8412,0.6055,0.7772,0.8036,0.7815,0.7283,0.6247,0.2062,0.2285,0.2933,0.2095,0.7892,0.754,0.6949,0.7111,0.4064,0.7424,0.7751,0.8132,0.24,0.4989,0.5922,0.5166,0.5386,0.7512,0.7902,0.7721
LA,0.2998,0.7612,0.6473,0.2307,0.2278,0.2128,0.2094,0.1489,0.5181,0.3772,0.801,0.2242,0.5227,0.473,0.2324,0.6169,0.5244,0.6353,1,0.2127,0.2459,0.4272,0.598,0.4433,0.6354,0.769,0.4656,0.7428,0.5075,0.4614,0.3554,0.2033,0.2122,0.2349,0.2,0.6057,0.5403,0.3501,0.5046,0.2109,0.7926,0.4884,0.6745,0.234,0.2831,0.5079,0.2947,0.2235,0.4919,0.5666,0.4983
MA,0.2409,0.1949,0.189,0.5036,0.3459,0.6127,0.7681,0.237,0.5275,0.477,0.2345,0.2258,0.445,0.3614,0.6475,0.3238,0.3312,0.2791,0.2127,1,0.421,0.5641,0.5228,0.5729,0.3554,0.2012,0.4297,0.2391,0.3467,0.4203,0.6343,0.6748,0.2425,0.4521,0.6313,0.486,0.1842,0.5426,0.6032,0.6911,0.2228,0.322,0.2117,0.2331,0.4762,0.5685,0.5975,0.6605,0.555,0.2755,0.2877
