date,party,win_prob
2020-03-01,democratic,0.559
2020-03-01,republican,0.436
2020-03-02,democratic,0.573
2020-03-02,republican,0.423
2020-03-03,democratic,0.578
2020-03-03,republican,0.418
2020-03-04,democratic,0.571
2020-03-04,republican,0.425
2020-03-05,democratic,0.58
2020-03-05,republican,0.415
2020-03-06,democratic,0.586
2020-03-06,republican,0.409
2020-03-07,democratic,0.589
2020-03-07,republican,0.407
2020-03-08,democratic,0.517
2020-03-08,republican,0.478
2020-03-09,democratic,0.516
2020-03-09,republican,0.48
2020-03-10,democratic,0.492
2020-03-10,republican,0.503
2020-03-11,democratic,0.474
2020-03-11,republican,0.522
2020-03-12,democratic,0.471
2020-03-12,republican,0.525
2020-03-13,democratic,0.486
2020-03-13,republican,0.51
2020-03-14,democratic,0.496
2020-03-14,republican,0.5
2020-03-15,democratic,0.499
2020-03-15,republican,0.496
2020-03-16,democratic,0.499
2020-03-16,republican,0.496
2020-03-17,democratic,0.512
2020-03-17,republican,0.484
2020-03-18,democratic,0.517
2020-03-18,republican,0.479
2020-03-19,democratic,0.52
2020-03-19,republican,0.475
2020-03-20,democratic,0.511
2020-03-20,republican,0.484
2020-03-21,democratic,0.513
2020-03-21,republican,0.482
2020-03-22,democratic,0.504
2020-03-22,republican,0.491
2020-03-23,democratic,0.509
2020-03-23,republican,0.486
2020-03-24,democratic,0.492
2020-03-24,republican,0.504
2020-03-25,democratic,0.486
2020-03-25,republican,0.51
2020-03-26,democratic,0.473
2020-03-26,republican,0.522
2020-03-27,democratic,0.471
2020-03-27,republican,0.524
2020-03-28,democratic,0.47
2020-03-28,republican,0.526
2020-03-29,democratic,0.468
2020-03-29,republican,0.526
2020-03-30,democratic,0.474
2020-03-30,republican,0.521
2020-03-31,democratic,0.477
2020-03-31,republican,0.518
2020-04-01,democratic,0.506
2020-04-01,republican,0.49
2020-04-02,democratic,0.518
2020-04-02,republican,0.476
2020-04-03,democratic,0.537
2020-04-03,republican,0.458
2020-04-04,democratic,0.537
2020-04-04,republican,0.458
2020-04-05,democratic,0.537
2020-04-05,republican,0.458
2020-04-06,democratic,0.551
2020-04-06,republican,0.444
2020-04-07,democratic,0.552
2020-04-07,republican,0.442
2020-04-08,democratic,0.548
2020-04-08,republican,0.447
2020-04-09,democratic,0.543
2020-04-09,republican,0.453
2020-04-10,democratic,0.543
2020-04-10,republican,0.453
2020-04-11,democratic,0.547
2020-04-11,republican,0.448
2020-04-12,democratic,0.548
2020-04-12,republican,0.447
2020-04-13,democratic,0.569
2020-04-13,republican,0.426
2020-04-14,democratic,0.571
2020-04-14,republican,0.424
2020-04-15,democratic,0.565
2020-04-15,republican,0.43
2020-04-16,democratic,0.591
2020-04-16,republican,0.404
2020-04-17,democratic,0.606
2020-04-17,republican,0.389
2020-04-18,democratic,0.593
2020-04-18,republican,0.401
