model_run_date,mean_dem_vote,upper_95_dem_vote,lower_95_dem_vote,mean_rep_vote,upper_95_rep_vote,lower_95_rep_vote
2020-03-01,0.511,0.578,0.44,0.489,0.56,0.422
2020-03-02,0.513,0.574,0.45,0.487,0.55,0.426
2020-03-03,0.514,0.58,0.459,0.486,0.541,0.42
2020-03-04,0.515,0.582,0.449,0.485,0.551,0.418
2020-03-05,0.514,0.574,0.464,0.486,0.536,0.426
2020-03-06,0.52,0.581,0.458,0.48,0.542,0.419
2020-03-07,0.514,0.571,0.457,0.486,0.543,0.429
2020-03-08,0.51,0.566,0.45,0.49,0.55,0.434
2020-03-09,0.511,0.576,0.453,0.489,0.547,0.424
2020-03-10,0.511,0.578,0.447,0.489,0.553,0.422
2020-03-11,0.51,0.57,0.454,0.49,0.546,0.43
2020-03-12,0.509,0.57,0.445,0.491,0.555,0.43
2020-03-13,0.505,0.568,0.436,0.495,0.564,0.432
2020-03-14,0.51,0.567,0.456,0.49,0.544,0.433
2020-03-15,0.509,0.563,0.439,0.491,0.561,0.437
2020-03-16,0.508,0.564,0.447,0.492,0.553,0.436
2020-03-17,0.511,0.567,0.453,0.489,0.547,0.433
2020-03-18,0.512,0.571,0.447,0.488,0.553,0.429
2020-03-19,0.51,0.568,0.452,0.49,0.548,0.432
2020-03-20,0.511,0.573,0.436,0.489,0.564,0.427
2020-03-21,0.51,0.576,0.458,0.49,0.542,0.424
2020-03-22,0.51,0.571,0.449,0.49,0.551,0.429
2020-03-23,0.509,0.564,0.454,0.491,0.546,0.436
2020-03-24,0.51,0.567,0.446,0.49,0.554,0.433
2020-03-25,0.511,0.573,0.456,0.489,0.544,0.427
2020-03-26,0.51,0.572,0.445,0.49,0.555,0.428
2020-03-27,0.509,0.562,0.447,0.491,0.553,0.438
2020-03-28,0.506,0.57,0.447,0.494,0.553,0.43
2020-03-29,0.509,0.563,0.451,0.491,0.549,0.437
2020-03-30,0.507,0.562,0.445,0.493,0.555,0.438
2020-03-31,0.509,0.571,0.456,0.491,0.544,0.429
2020-04-01,0.512,0.573,0.459,0.488,0.541,0.427
2020-04-02,0.515,0.578,0.457,0.485,0.543,0.422
