state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.4264,0.5527,0.5357,0.2167,0.5444,0.222,0.1667,0.2211,0.3019,0.2315,0.1956,0.6414,0.6677,0.2281,0.6172,0.6838,0.6335,0.2991,0.2236,0.2075,0.4957,0.4878,0.5819,0.5824,0.2983,0.6414,0.4492,0.6758,0.6051,0.4808,0.1877,0.3545,0.3615,0.1861,0.5218,0.6508,0.5922,0.4768,0.3369,0.3717,0.6668,0.5329,0.392,0.572,0.2683,0.4185,0.5351,0.573,0.5949,0.6606
AL,0.4264,1,0.7289,0.2452,0.2298,0.2842,0.2011,0.1604,0.4372,0.4148,0.6792,0.2162,0.6005,0.5469,0.1716,0.6669,0.6342,0.7125,0.7389,0.1986,0.2166,0.499,0.6117,0.515,0.6923,0.7233,0.5991,0.7872,0.587,0.5059,0.4358,0.2115,0.22,0.2261,0.2074,0.6298,0.6672,0.4504,0.5373,0.2048,0.8016,0.589,0.7379,0.2294,0.2744,0.4963,0.3427,0.2884,0.5448,0.677,0.5997
AR,0.5527,0.7289,1,0.3051,0.2114,0.3809,0.1834,0.1475,0.3941,0.3918,0.5622,0.2013,0.653,0.6127,0.1984,0.7086,0.7013,0.751,0.633,0.1869,0.2041,0.5226,0.6159,0.5707,0.7096,0.6151,0.6497,0.7418,0.656,0.5617,0.4681,0.2031,0.2088,0.2293,0.1985,0.6403,0.7099,0.5302,0.554,0.2449,0.7195,0.6604,0.7494,0.2203,0.3622,0.4588,0.378,0.3739,0.5904,0.7088,0.6608
AZ,0.5357,0.2452,0.3051,1,0.577,0.6023,0.4901,0.1649,0.3683,0.6126,0.2408,0.4317,0.4967,0.5065,0.5235,0.4672,0.4429,0.4195,0.2505,0.4865,0.2361,0.4692,0.5142,0.5135,0.4362,0.2273,0.4643,0.2836,0.4254,0.484,0.4869,0.5219,0.5839,0.8004,0.5273,0.5108,0.409,0.5789,0.5541,0.5721,0.2618,0.4239,0.3218,0.5931,0.542,0.3022,0.3904,0.6641,0.5455,0.4198,0.4119
CA,0.2167,0.2298,0.2114,0.577,1,0.2853,0.2736,0.2551,0.209,0.3528,0.239,0.6739,0.2188,0.2054,0.3093,0.2201,0.22,0.2252,0.2256,0.3124,0.2263,0.229,0.2421,0.2367,0.2268,0.2363,0.2211,0.2381,0.2162,0.1966,0.2393,0.5025,0.6422,0.6142,0.5429,0.233,0.2149,0.2247,0.2501,0.2903,0.2454,0.2071,0.2214,0.6007,0.2269,0.2157,0.2152,0.3124,0.2426,0.208,0.2055
CO,0.5444,0.2842,0.3809,0.6023,0.2853,1,0.535,0.1719,0.3467,0.4084,0.2399,0.1988,0.6388,0.6211,0.5085,0.5824,0.6493,0.5428,0.2328,0.5965,0.2429,0.5723,0.5867,0.7272,0.5804,0.2214,0.6241,0.3973,0.5938,0.6245,0.6427,0.4321,0.2485,0.415,0.4126,0.6105,0.4815,0.7129,0.6429,0.5846,0.2954,0.5612,0.4456,0.2776,0.6446,0.5454,0.5204,0.7556,0.657,0.514,0.5454
CT,0.222,0.2011,0.1834,0.4901,0.2736,0.535,1,0.1224,0.6073,0.5859,0.2173,0.2315,0.4658,0.3503,0.608,0.3435,0.3026,0.2947,0.2105,0.7447,0.4269,0.6174,0.561,0.5507,0.3758,0.206,0.4609,0.2814,0.3317,0.3954,0.6622,0.6335,0.2728,0.4495,0.5575,0.5116,0.1731,0.5275,0.6278,0.696,0.2419,0.3271,0.2107,0.2058,0.3694,0.5669,0.6324,0.6228,0.5772,0.3403,0.296
DC,0.1667,0.1604,0.1475,0.1649,0.2551,0.1719,0.1224,1,0.1484,0.1669,0.1769,0.1875,0.1716,0.1679,0.1318,0.165,0.1717,0.1743,0.1587,0.2147,0.5056,0.1657,0.1695,0.165,0.1659,0.1366,0.1667,0.1699,0.1596,0.1596,0.161,0.2846,0.153,0.1568,0.3398,0.166,0.1539,0.1629,0.1703,0.1179,0.1652,0.1578,0.1644,0.1565,0.1677,0.1526,0.1541,0.1565,0.1651,0.1651,0.1466
DE,0.2211,0.4372,0.3941,0.3683,0.209,0.3467,0.6073,0.1484,1,0.6546,0.4815,0.1864,0.5759,0.4313,0.5997,0.526,0.3982,0.4866,0.5047,0.5234,0.4803,0.6465,0.7227,0.5785,0.5542,0.3856,0.53,0.5591,0.4192,0.4606,0.6319,0.4441,0.2097,0.3989,0.4378,0.6722,0.2668,0.5129,0.7197,0.5884,0.5506,0.418,0.4399,0.2181,0.3236,0.6793,0.5957,0.4856,0.6518,0.5035,0.3872
FL,0.3019,0.4148,0.3918,0.6126,0.3528,0.4084,0.5859,0.1669,0.6546,1,0.3534,0.303,0.5114,0.4432,0.5573,0.5016,0.4099,0.4791,0.3886,0.4728,0.375,0.6076,0.6657,0.5216,0.5127,0.3099,0.5114,0.5,0.3673,0.4415,0.5948,0.5562,0.4037,0.634,0.5227,0.6295,0.3733,0.5865,0.7129,0.5829,0.4852,0.4043,0.4393,0.3182,0.2712,0.5309,0.4809,0.5447,0.606,0.5218,0.4016
