dem_ev,sims
190,1
200,1
202,1
204,1
210,2
213,2
215,2
216,1
217,2
218,1
219,3
221,1
223,3
227,10
229,1
230,1
233,6
234,1
235,2
237,2
239,5
240,2
241,1
242,1
243,6
244,1
245,5
247,2
248,2
249,4
250,2
253,11
254,1
255,4
258,1
259,10
260,3
261,1
262,3
263,5
264,5
266,1
268,5
269,4
270,7
272,2
273,21
274,5
275,4
276,1
277,1
278,2
279,36
280,6
281,4
282,4
283,3
284,12
285,7
286,4
288,25
289,6
290,50
292,2
293,2
294,42
295,8
296,11
297,7
298,8
299,14
300,12
301,2
302,10
303,6
304,10
305,16
306,10
307,3
308,62
309,5
310,29
311,7
312,5
313,7
314,13
315,9
316,9
317,15
318,8
319,141
321,13
322,3
323,71
324,14
325,32
326,2
327,15
328,25
329,23
330,4
331,1
332,8
333,13
334,104
335,27
336,1
337,13
338,4
339,80
340,75
341,21
343,27
344,4
345,34
346,7
347,21
348,6
349,1
350,107
351,1
352,28
353,4
354,2
355,3
356,73
357,65
358,110
359,18
361,42
362,4
363,48
364,2
365,6
366,6
367,1
368,40
369,1
370,1
371,4
372,40
373,14
374,247
375,8
377,43
378,38
379,1
380,4
381,10
382,9
383,15
384,8
385,3
386,8
387,9
388,67
389,4
390,11
391,3
392,5
393,7
394,28
395,2
396,36
397,11
399,26
400,1
401,6
402,2
403,2
405,1
406,26
408,2
409,4
410,4
412,125
413,1
414,1
415,45
418,8
420,4
421,20
422,10
424,9
425,12
426,2
427,1
428,8
430,1
431,7
433,2
434,7
437,2
440,3
443,1
448,2
450,1
451,1
453,1
454,2
456,1
460,1
