draw,dem_ev,natl_pop_vote,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1,393,0.5570525665728514,0.4935,0.4363,0.4398,0.5311,0.6836,0.5626,0.6127,0.9507,0.6245,0.5434,0.5146,0.703,0.5307,0.4151,0.6029,0.4726,0.4804,0.4255,0.4686,0.6608,0.6325,0.6038,0.5617,0.5659,0.5053,0.4632,0.4679,0.5339,0.4001,0.4401,0.5734,0.5962,0.573,0.5426,0.6068,0.53,0.3943,0.6226,0.5506,0.6074,0.5026,0.4481,0.4362,0.4938,0.4174,0.5602,0.6993,0.6288,0.5601,0.3849,0.3326
2,282,0.5244099774566059,0.4789,0.3972,0.3955,0.5208,0.6769,0.571,0.548,0.9439,0.538,0.4803,0.4754,0.661,0.5046,0.3798,0.5471,0.426,0.4498,0.392,0.4101,0.6312,0.5955,0.5015,0.5169,0.5321,0.4315,0.4526,0.4332,0.4864,0.354,0.4083,0.4912,0.5681,0.5617,0.5383,0.6303,0.4719,0.3769,0.5686,0.503,0.5785,0.4383,0.4084,0.3956,0.4899,0.4284,0.5096,0.6232,0.6195,0.5,0.3447,0.2882
3,323,0.533507745356537,0.4575,0.3939,0.3703,0.497,0.6682,0.554,0.6039,0.9604,0.5721,0.5235,0.4882,0.6857,0.4783,0.3223,0.5526,0.4112,0.432,0.3907,0.3962,0.6584,0.6779,0.5786,0.5192,0.5391,0.4458,0.4373,0.444,0.5152,0.3339,0.4147,0.5335,0.5946,0.5644,0.5149,0.6251,0.4672,0.3386,0.5683,0.5313,0.5971,0.4678,0.4018,0.413,0.4904,0.3702,0.571,0.6732,0.6169,0.5143,0.3452,0.2906
4,305,0.545754668352629,0.4916,0.4156,0.4562,0.5442,0.7128,0.5554,0.5853,0.9449,0.5786,0.4922,0.4995,0.6999,0.4949,0.3993,0.5861,0.4414,0.4574,0.4088,0.4268,0.6556,0.6687,0.5493,0.5267,0.5333,0.4695,0.4694,0.4337,0.5221,0.3828,0.4182,0.5318,0.6127,0.5806,0.5369,0.6465,0.4621,0.3992,0.6006,0.5103,0.6079,0.4571,0.4167,0.4325,0.4931,0.4216,0.5454,0.6521,0.6374,0.5403,0.3797,0.3138
5,372,0.5410091595804097,0.4747,0.399,0.3941,0.5272,0.6963,0.5418,0.6104,0.9571,0.588,0.5084,0.4808,0.6873,0.474,0.3484,0.5832,0.4068,0.4341,0.3825,0.4684,0.682,0.6662,0.5508,0.5248,0.5303,0.431,0.4472,0.4422,0.5045,0.3533,0.3817,0.525,0.6135,0.5808,0.5361,0.6728,0.4645,0.3775,0.5975,0.5081,0.5782,0.4492,0.398,0.4293,0.5125,0.3909,0.5419,0.6617,0.585,0.528,0.3647,0.2834
6,290,0.5229103846439009,0.4474,0.3796,0.3746,0.5076,0.6565,0.5539,0.5783,0.9488,0.5758,0.479,0.4706,0.6651,0.4742,0.3597,0.5764,0.4136,0.4181,0.3736,0.4137,0.669,0.6177,0.5369,0.5151,0.5321,0.4334,0.4318,0.4136,0.4926,0.3638,0.397,0.516,0.597,0.5612,0.5415,0.6271,0.4783,0.3313,0.592,0.5029,0.5945,0.4156,0.3853,0.3784,0.4768,0.4114,0.5196,0.6579,0.6168,0.5318,0.3215,0.2883
7,418,0.5709203542510036,0.4874,0.4351,0.4374,0.5563,0.6951,0.5692,0.6454,0.9609,0.6596,0.5457,0.542,0.7143,0.5366,0.3919,0.6244,0.4577,0.4358,0.4105,0.4846,0.6845,0.7083,0.5837,0.5601,0.57,0.4732,0.502,0.4827,0.5374,0.3935,0.4389,0.5685,0.6094,0.6173,0.5523,0.6765,0.5184,0.3859,0.6023,0.5538,0.6193,0.498,0.436,0.441,0.554,0.4085,0.5838,0.7211,0.6233,0.5618,0.3781,0.3251
8,283,0.5288848993314488,0.47,0.4128,0.3889,0.5098,0.6765,0.5306,0.6147,0.9514,0.5822,0.5015,0.4895,0.687,0.4672,0.3259,0.5637,0.3917,0.4146,0.3754,0.4287,0.679,0.673,0.5343,0.4998,0.5164,0.4189,0.4359,0.4206,0.4743,0.3535,0.368,0.5049,0.6238,0.5792,0.5091,0.668,0.4516,0.3557,0.5491,0.4959,0.5934,0.4669,0.375,0.4032,0.4942,0.4034,0.5364,0.6638,0.5859,0.5022,0.3236,0.2739
9,341,0.5366191672406445,0.4758,0.4198,0.4255,0.4981,0.658,0.5588,0.6068,0.9496,0.5908,0.5257,0.4844,0.6608,0.478,0.3691,0.58,0.4025,0.4412,0.4105,0.4367,0.6621,0.6601,0.5739,0.5397,0.5534,0.4604,0.4319,0.4495,0.5149,0.3819,0.3966,0.5402,0.5835,0.5594,0.5183,0.6342,0.5028,0.3579,0.59,0.523,0.6321,0.4713,0.3835,0.4169,0.4567,0.3953,0.5579,0.6863,0.6264,0.5258,0.3487,0.3109
10,308,0.5314741028790503,0.473,0.3836,0.3849,0.4993,0.6533,0.5478,0.5815,0.9554,0.6013,0.5311,0.4826,0.6804,0.4792,0.3543,0.6097,0.4185,0.4214,0.3987,0.4298,0.6305,0.6886,0.5336,0.5253,0.528,0.4374,0.4304,0.4436,0.4947,0.3483,0.4029,0.525,0.6004,0.5495,0.5157,0.6464,0.4592,0.3594,0.5773,0.5045,0.6183,0.4521,0.3983,0.3874,0.484,0.3969,0.5288,0.6596,0.6122,0.524,0.3454,0.3061
