state,p_decisive_vote,p_decisive_vote_label,p_tipping_point,dem_margin,dem_margin_low,dem_margin_high,dem_win_prob,dem_margin_2016
PA,1.0083990172532655e-7,1 in 10 million,0.30366666666666664,6,-2,15,93,-0.8
WI,8.029405108904359e-8,1 in 12 million,0.104,7,-1,16,96,-0.8
MI,6.44020014296704e-8,1 in 16 million,0.10733333333333334,8,-0,16,97,-0.2
NH,5.523914803581989e-8,1 in 18 million,0.03266666666666666,8,-0,18,96,0.4
NV,5.263320766438779e-8,1 in 19 million,0.035666666666666666,6,-2,16,92,2.6
MN,4.1211117720657145e-8,1 in 24 million,0.052333333333333336,9,0,18,98,1.7
AZ,3.672117064994771e-8,1 in 27 million,0.041666666666666664,3,-6,12,70,-3.8
FL,3.101898720773453e-8,1 in 32 million,0.13733333333333334,4,-5,12,79,-1.2
NC,3.035973411704994e-8,1 in 33 million,0.06366666666666666,3,-6,12,74,-3.8
GA,2.5464892422830743e-8,1 in 39 million,0.025,0,-9,9,50,-5.3
NM,1.61966362345003e-8,1 in 62 million,0.03266666666666666,13,3,23,100,9.3
VA,1.3390129273054065e-8,1 in 75 million,0.021,11,3,20,100,5.7
TX,1.1351486665297052e-8,1 in 88 million,0.019333333333333334,-3,-12,6,26,-9.4
AK,1.0329313256177756e-8,1 in 97 million,3.333333333333333e-4,-6,-16,3,11,-16.8
ME,1.0126282163217847e-8,1 in 99 million,6.666666666666666e-4,13,4,22,100,3.2
IA,8.391521969292418e-9,1 in 119 million,0.004333333333333333,-0,-9,9,49,-10.1
CO,6.535523972672777e-9,1 in 153 million,0.01633333333333333,12,3,21,100,5.4
OH,3.872198360079496e-9,1 in 258 million,0.001,-1,-10,8,39,-8.5
IL,2.5788506925534565e-9,1 in 388 million,6.666666666666666e-4,18,8,28,100,18
RI,1.7670469987408792e-9,1 in 566 million,0,23,14,33,100,16.6
OR,1.7062802065611558e-9,1 in 586 million,0,18,9,27,100,12.3
MS,1.5745903945430208e-9,1 in 635 million,0,-11,-20,-1,2,-18.2
NJ,1.2827170587449232e-9,1 in 780 million,3.333333333333333e-4,20,10,29,100,14.6
MT,1.2736472336323317e-9,1 in 785 million,0,-10,-18,-0,2,-22.2
CT,9.13752195667998e-10,1 in 1 billion,0,22,12,31,100,14.3
DE,6.838945920820546e-10,1 in 1 billion,0,21,12,30,100,12
SC,6.797024930775067e-10,1 in 1 billion,0,-8,-16,1,4,-14.9
LA,4.782839104376033e-10,1 in 2 billion,0,-11,-21,-2,1,-20.3
MO,4.329503524319812e-10,1 in 2 billion,0,-8,-17,1,4,-19.6
WA,3.110523761677612e-10,1 in 3 billion,0,24,15,33,100,17.6
KS,2.8857794488274833e-10,1 in 3 billion,0,-11,-20,-2,1,-22.2
HI,2.714027764415188e-10,1 in 4 billion,0,37,28,46,100,34.9
NY,2.640373976570166e-10,1 in 4 billion,0,29,20,37,100,23.5
SD,1.9384766245773811e-10,1 in 5 billion,0,-18,-27,-8,0,-31.9
NE,1.6998504238123024e-10,1 in 6 billion,0,-17,-26,-7,0,-27.1
IN,1.6164879603853334e-10,1 in 6 billion,0,-14,-22,-4,0,-20.2
MD,1.3705126928863042e-10,1 in 7 billion,0,33,23,42,100,28
TN,1.1539342538348725e-10,1 in 9 billion,0,-16,-26,-7,0,-27.2
AR,1.1273736101649576e-10,1 in 9 billion,0,-18,-27,-8,0,-28.6
AL,1.1082622965902412e-10,1 in 9 billion,0,-18,-27,-8,0,-28.7
CA,1.0434735034284152e-10,1 in 10 billion,0,34,26,43,100,32.3
UT,9.337806980520003e-11,1 in 11 billion,0,-19,-28,-10,0,-24.8
ND,5.886210915045767e-11,1 in 17 billion,0,-25,-34,-15,0,-39.6
MA,5.132234772126425e-11,1 in 19 billion,0,34,25,43,100,29.3
OK,4.0773814453176666e-11,1 in 25 billion,0,-26,-35,-17,0,-38.6
VT,3.8248837919023114e-11,1 in 26 billion,0,35,26,44,100,30.4
ID,3.119506280035043e-11,1 in 32 billion,0,-25,-34,-16,0,-36.6
KY,2.2668299685719695e-11,1 in 44 billion,0,-20,-29,-11,0,-31.3
WY,1.5385481814101598e-11,1 in 65 billion,0,-39,-47,-30,0,-51.4
WV,8.246157553158982e-12,1 in 121 billion,0,-29,-37,-20,0,-44.3
DC,3.630433786516232e-15,1 in 275 trillion,0,91,88,93,100,91.4
