state,p_decisive_vote
PA,1.176214844013586e-7
NH,9.054095636336599e-8
WI,8.411715464174966e-8
MI,7.605108208734596e-8
NV,6.987717233001693e-8
MN,4.953641609169879e-8
AZ,4.6390598624902e-8
NM,3.052968026825043e-8
FL,3.0361901001957714e-8
GA,2.3012563330546196e-8
NC,2.195731331014918e-8
ME,1.5748569762730143e-8
VA,1.4393653923017297e-8
TX,8.752175681153237e-9
CO,7.610117476501166e-9
IA,4.5708981242838264e-9
OH,4.4218445821031334e-9
AK,3.1602415148833908e-9
IL,2.2809384438223183e-9
NJ,1.7080632858856706e-9
RI,1.4376607067887447e-9
OR,1.2445607227341518e-9
DE,1.0657525789472471e-9
CT,9.662806441415238e-10
MS,5.315740387015842e-10
MT,4.0006364565496654e-10
SC,3.884031761540816e-10
WA,3.402042922709815e-10
NY,3.034820340523545e-10
MO,2.6004419010474595e-10
HI,2.5545874788669977e-10
MD,2.3267441876278847e-10
KS,2.173136561234084e-10
LA,1.9162796293707876e-10
CA,1.0262609442114729e-10
TN,1.0216496159492443e-10
NE,1.0189245005405341e-10
IN,9.287173149680154e-11
UT,9.236758040723862e-11
VT,7.981178252208473e-11
MA,6.856812671447119e-11
SD,5.886383565986516e-11
AL,3.97018226156322e-11
AR,3.220282580295474e-11
ND,2.7258732321147706e-11
ID,2.0874315715410987e-11
OK,2.0044047087292008e-11
KY,1.6452130513707757e-11
WV,7.273836337348146e-12
WY,2.529705269424933e-12
DC,4.608373168162743e-15
