date,party,poll_average_high,poll_average_low,poll_average_mean
2020-03-01,democratic,0.566,0.493,0.527
2020-03-01,republican,0.507,0.434,0.473
2020-03-02,democratic,0.561,0.499,0.531
2020-03-02,republican,0.501,0.439,0.469
2020-03-03,democratic,0.569,0.496,0.532
2020-03-03,republican,0.504,0.431,0.468
2020-03-04,democratic,0.565,0.49,0.528
2020-03-04,republican,0.51,0.435,0.472
2020-03-05,democratic,0.564,0.497,0.532
2020-03-05,republican,0.503,0.436,0.468
2020-03-06,democratic,0.566,0.495,0.531
2020-03-06,republican,0.505,0.434,0.469
2020-03-07,democratic,0.563,0.499,0.53
2020-03-07,republican,0.501,0.437,0.47
2020-03-08,democratic,0.568,0.494,0.53
2020-03-08,republican,0.506,0.432,0.47
2020-03-09,democratic,0.567,0.496,0.531
2020-03-09,republican,0.504,0.433,0.469
2020-03-10,democratic,0.557,0.497,0.528
2020-03-10,republican,0.503,0.443,0.472
2020-03-11,democratic,0.565,0.492,0.527
2020-03-11,republican,0.508,0.435,0.473
2020-03-12,democratic,0.56,0.489,0.526
2020-03-12,republican,0.511,0.44,0.474
2020-03-13,democratic,0.561,0.496,0.528
2020-03-13,republican,0.504,0.439,0.472
2020-03-14,democratic,0.56,0.496,0.527
2020-03-14,republican,0.504,0.44,0.473
2020-03-15,democratic,0.564,0.49,0.528
2020-03-15,republican,0.51,0.436,0.472
2020-03-16,democratic,0.557,0.493,0.527
2020-03-16,republican,0.507,0.443,0.473
2020-03-17,democratic,0.565,0.497,0.531
2020-03-17,republican,0.503,0.435,0.469
2020-03-18,democratic,0.562,0.496,0.53
2020-03-18,republican,0.504,0.438,0.47
2020-03-19,democratic,0.564,0.499,0.528
2020-03-19,republican,0.501,0.436,0.472
2020-03-20,democratic,0.562,0.499,0.528
2020-03-20,republican,0.501,0.438,0.472
2020-03-21,democratic,0.564,0.496,0.53
2020-03-21,republican,0.504,0.436,0.47
2020-03-22,democratic,0.558,0.497,0.529
2020-03-22,republican,0.503,0.442,0.471
2020-03-23,democratic,0.561,0.494,0.529
2020-03-23,republican,0.506,0.439,0.471
2020-03-24,democratic,0.56,0.492,0.529
2020-03-24,republican,0.508,0.44,0.471
2020-03-25,democratic,0.559,0.494,0.528
2020-03-25,republican,0.506,0.441,0.472
2020-03-26,democratic,0.562,0.492,0.526
2020-03-26,republican,0.508,0.438,0.474
2020-03-27,democratic,0.559,0.491,0.526
2020-03-27,republican,0.509,0.441,0.474
2020-03-28,democratic,0.556,0.492,0.526
2020-03-28,republican,0.508,0.444,0.474
2020-03-29,democratic,0.558,0.491,0.524
2020-03-29,republican,0.509,0.442,0.476
2020-03-30,democratic,0.559,0.493,0.527
2020-03-30,republican,0.507,0.441,0.473
2020-03-31,democratic,0.558,0.497,0.528
2020-03-31,republican,0.503,0.442,0.472
2020-04-01,democratic,0.56,0.496,0.529
2020-04-01,republican,0.504,0.44,0.471
2020-04-02,democratic,0.563,0.499,0.529
2020-04-02,republican,0.501,0.437,0.471
2020-04-03,democratic,0.564,0.496,0.53
2020-04-03,republican,0.504,0.436,0.47
2020-04-04,democratic,0.568,0.5,0.53
2020-04-04,republican,0.5,0.432,0.47
2020-04-05,democratic,0.562,0.499,0.53
2020-04-05,republican,0.501,0.438,0.47
2020-04-06,democratic,0.567,0.495,0.531
2020-04-06,republican,0.505,0.433,0.469
2020-04-07,democratic,0.562,0.501,0.53
2020-04-07,republican,0.499,0.438,0.47
2020-04-08,democratic,0.557,0.495,0.529
2020-04-08,republican,0.505,0.443,0.471
2020-04-09,democratic,0.561,0.496,0.527
2020-04-09,republican,0.504,0.439,0.473
2020-04-10,democratic,0.557,0.495,0.528
2020-04-10,republican,0.505,0.443,0.472
2020-04-11,democratic,0.563,0.498,0.531
2020-04-11,republican,0.502,0.437,0.469
2020-04-12,democratic,0.564,0.494,0.529
2020-04-12,republican,0.506,0.436,0.471
2020-04-13,democratic,0.564,0.503,0.533
2020-04-13,republican,0.497,0.436,0.467
2020-04-14,democratic,0.567,0.502,0.533
2020-04-14,republican,0.498,0.433,0.467
2020-04-15,democratic,0.559,0.497,0.53
2020-04-15,republican,0.503,0.441,0.47
2020-04-16,democratic,0.559,0.499,0.532
2020-04-16,republican,0.501,0.441,0.468
2020-04-17,democratic,0.562,0.503,0.534
2020-04-17,republican,0.497,0.438,0.466
2020-04-18,democratic,0.561,0.499,0.531
2020-04-18,republican,0.501,0.439,0.469
2020-04-19,democratic,0.562,0.503,0.531
2020-04-19,republican,0.497,0.438,0.469
2020-04-20,democratic,0.559,0.497,0.53
2020-04-20,republican,0.503,0.441,0.47
2020-04-21,democratic,0.563,0.504,0.533
2020-04-21,republican,0.496,0.437,0.467
2020-04-22,democratic,0.569,0.501,0.536
2020-04-22,republican,0.499,0.431,0.464
2020-04-23,democratic,0.569,0.505,0.536
2020-04-23,republican,0.495,0.431,0.464
2020-04-24,democratic,0.567,0.512,0.539
2020-04-24,republican,0.488,0.433,0.461
2020-04-25,democratic,0.569,0.502,0.539
2020-04-25,republican,0.498,0.431,0.461
2020-04-26,democratic,0.57,0.509,0.538
2020-04-26,republican,0.491,0.43,0.462
2020-04-27,democratic,0.572,0.506,0.539
2020-04-27,republican,0.494,0.428,0.461
2020-04-28,democratic,0.57,0.507,0.538
2020-04-28,republican,0.493,0.43,0.462
2020-04-29,democratic,0.574,0.507,0.539
2020-04-29,republican,0.493,0.426,0.461
2020-04-30,democratic,0.568,0.507,0.537
2020-04-30,republican,0.493,0.432,0.463
2020-05-01,democratic,0.57,0.506,0.538
2020-05-01,republican,0.494,0.43,0.462
2020-05-02,democratic,0.571,0.503,0.537
2020-05-02,republican,0.497,0.429,0.463
2020-05-03,democratic,0.565,0.506,0.537
2020-05-03,republican,0.494,0.435,0.463
2020-05-04,democratic,0.57,0.507,0.538
2020-05-04,republican,0.493,0.43,0.462
2020-05-05,democratic,0.573,0.508,0.538
2020-05-05,republican,0.492,0.427,0.462
2020-05-06,democratic,0.564,0.501,0.533
2020-05-06,republican,0.499,0.436,0.467
2020-05-07,democratic,0.565,0.502,0.532
2020-05-07,republican,0.498,0.435,0.468
2020-05-08,democratic,0.564,0.502,0.532
2020-05-08,republican,0.498,0.436,0.468
2020-05-09,democratic,0.565,0.502,0.534
2020-05-09,republican,0.498,0.435,0.466
2020-05-10,democratic,0.565,0.499,0.533
2020-05-10,republican,0.501,0.435,0.467
2020-05-11,democratic,0.564,0.5,0.535
2020-05-11,republican,0.5,0.436,0.465
