,State,State_abb,ECV,Polls_Biden_10_16_538,Polls_Trump_10_16_538
,National,,538,52.3,41.8
1,Alabama,AL,9,38.8,56.4
2,Alaska,AK,3,44,48.8
3,Arizona,AZ,11,49,45.2
4,Arkansas,AR,6,40.3,54.2
5,California,CA,55,62.1,31.2
6,Colorado,CO,9,53.1,39.9
7,Connecticut,CT,7,59.2,33.1
8,Delaware,DE,3,59.8,33
9,District of Columbia,DC,3,87.1,9
10,Florida,FL,29,49,45.1
11,Georgia,GA,16,47.9,46.6
12,Hawaii,HI,4,63,30.2
13,Idaho,ID,4,37.1,58
14,Illinois,IL,20,56.5,37.8
15,Indiana,IN,11,41.5,51.3
16,Iowa,IA,6,47.7,47.5
17,Kansas,KS,6,43.4,50.1
18,Kentucky,KY,8,38.9,56.6
19,Louisiana,LA,8,39.1,53.6
20,Maine,ME,4,54.2,39.2
21,Maryland,MD,10,63,30.4
22,Massachusetts,MA,11,66.4,28.2
23,Michigan,MI,16,50.6,42.8
24,Minnesota,MN,10,50.6,41.7
25,Mississippi,MS,6,40.1,53.7
26,Missouri,MO,10,45,51.1
27,Montana,MT,3,43.8,52
28,Nebraska,NE,5,43.8,51.1
29,Nevada,NV,6,49.5,43.2
30,New Hampshire,NH,4,53.6,42.2
31,New Jersey,NJ,14,56.2,36.4
32,New Mexico,NM,5,54,40.4
33,New York,NY,29,62.5,31.4
34,North Carolina,NC,15,49,45.9
35,North Dakota,ND,3,37.1,56.9
36,Ohio,OH,18,47.1,46.9
37,Oklahoma,OK,7,36.2,57.6
38,Oregon,OR,7,57.1,37.4
39,Pennsylvania,PA,20,50.8,44
40,Rhode Island,RI,4,63.7,32.3
41,South Carolina,SC,9,43.3,50.6
42,South Dakota,SD,3,40.2,54.4
43,Tennessee,TN,11,40.8,54.4
44,Texas,TX,38,47.1,48.5
45,Utah,UT,6,39.6,51.2
46,Vermont,VT,3,63.2,29.6
47,Virginia,VA,13,53.5,40.1
48,Washington,WA,12,59.4,34.2
49,West Virginia,WV,5,35.9,58.9
50,Wisconsin,WI,10,50.8,43.1
51,Wyoming,WY,3,30.2,65
