state,total_count,clinton,trump,state_name,ev,clinton_count,trump_count,adult_pop_growth_2011_15
AL,2123372,34.36,62.08,Alabama,9,729547,1318255,0.021734156
AK,318608,36.55,51.28,Alaska,3,116454,163387,0.033482632000000005
AZ,2573165,45.13,48.67,Arizona,11,1161167,1252401,0.071607165
AR,1130635,33.65,60.57,Arkansas,6,380493,684872,0.020381099
CA,14181595,61.73,31.62,California,55,8753788,4483810,0.056435939000000004
CO,2780220,48.16,43.25,Colorado,9,1338870,1202484,0.080479676
CT,1644920,54.57,40.93,Connecticut,7,897572,673215,0.017797973
DC,312575,90.48,4.07,D.C.,3,282830,12722,0.080870047
DE,441590,53.35,41.92,Delaware,3,235603,185127,0.05563393
FL,9420039,47.82,49.02,Florida,29,4504975,4617886,0.07322737
GA,4114732,45.64,50.77,Georgia,16,1877963,2089103,0.052603069
HI,437664,60.98,29.44,Hawaii,4,266891,128846,0.047246979
ID,690255,27.49,59.26,Idaho,4,189765,409055,0.056379763
IL,5536424,55.83,38.76,Illinois,20,3090729,2146015,0.013323942
IN,2734958,37.77,56.94,Indiana,11,1033125,1557286,0.024577589
IA,1565580,41.75,51.16,Iowa,6,653669,800982,0.024450595
KS,1184402,36.05,56.65,Kansas,6,427005,671018,0.020848352
KY,1924149,32.68,62.52,Kentucky,8,628854,1202971,0.019419418
LA,2029032,38.45,58.09,Louisiana,8,780154,1178638,0.028718929
ME,771892,46.35,43.48,Maine,4,357735,335593,0.013199618
MD,2781446,60.33,33.91,Maryland,10,1677927,943169,0.039387467
MA,3378821,59.05,32.29,Massachusetts,11,1995195,1090893,0.043379274
MI,4799284,47.27,47.5,Michigan,16,2268839,2279543,0.017795558
MN,2944782,46.45,44.93,Minnesota,10,1367705,1322949,0.03389738
MS,1209357,40.11,57.94,Mississippi,6,485131,700714,0.016699929
MO,2808605,38.14,56.77,Missouri,10,1071068,1594511,0.020360473
MT,494526,35.94,56.47,Montana,3,177709,279240,0.039549137000000005
NE,844227,33.7,58.75,Nebraska,5,284494,495960,0.031301715
NV,1125385,47.92,45.5,Nevada,6,539260,512058,0.078723137
NH,744296,46.83,46.46,New Hampshire,4,348526,345790,0.027354774
NJ,3874046,55.45,41.35,New Jersey,14,2148278,1601933,0.026680111
NM,798319,48.26,40.04,New Mexico,5,385233,319666,0.016250268000000002
NY,7802084,58.4,36.14,New York,29,4556124,2819534,0.026732983
NC,4741564,46.17,49.83,North Carolina,15,2189316,2362631,0.052033653
ND,344360,27.23,62.96,North Dakota,3,93758,216793,0.09427038800000001
OH,5496487,43.56,51.69,Ohio,18,2394164,2841005,0.015034921000000001
OK,1452992,28.93,65.32,Oklahoma,7,420375,949135,0.033154616
OR,2001336,50.07,39.09,Oregon,7,1002105,782403,0.05253463
PA,6115402,47.85,48.58,Pennsylvania,20,2926441,2970733,0.01307409
RI,464144,54.41,38.9,Rhode Island,4,252525,180543,0.016216098999999998
SC,2103027,40.67,54.94,South Carolina,9,855373,1155389,0.057210779
SD,370093,31.74,61.53,South Dakota,3,117458,227721,0.04222564400000001
TN,2508027,34.72,60.72,Tennessee,11,870695,1522925,0.038986467000000004
TX,8969226,43.24,52.23,Texas,38,3877867,4685047,0.08247326599999999
UT,1131317,27.46,45.54,Utah,6,310674,515211,0.075640981
VT,320467,55.72,29.76,Vermont,3,178573,95368,0.011402581
VA,3982752,49.75,44.43,Virginia,13,1981473,1769443,0.04317003
WA,3317019,52.54,36.83,Washington,12,1742717,1221747,0.059110402
WV,713051,26.48,68.63,West Virginia,5,188794,489370,-0.0041058909999999995
WI,2976150,46.45,47.22,Wisconsin,10,1382536,1405284,0.02078458
WY,258788,21.63,67.4,Wyoming,3,55973,174419,0.032295295
