State,State_abb,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
Alabama,AL,14-Sep,9,50,0.062,0.132004383,0.10400263
Alaska,AK,14-Sep,3,50,0.1995,0.045289878,0.106973927
Arizona,AZ,14-Sep,11,50,0.688,0.547332296,0.603599378
Arkansas,AR,14-Sep,6,50,0.161,0.384865852,0.295319511
California,CA,14-Sep,55,50,0.979,0.990503075,0.985901845
Colorado,CO,14-Sep,9,50,0.887,0.774968199,0.81978092
Connecticut,CT,14-Sep,7,50,0.832,0.917809834,0.8834859
Delaware,DE,14-Sep,3,50,0.753,0.966054366,0.88083262
District of Columbia,DC,14-Sep,3,50,0.991,0.995658298,0.993794979
Florida,FL,14-Sep,29,50,0.7735,0.560039266,0.64542356
Georgia,GA,14-Sep,16,50,0.423,0.492344744,0.464606847
Hawaii,HI,14-Sep,4,50,0.9415,0.960233819,0.952740291
Idaho,ID,14-Sep,4,50,0.078,0.06905339,0.072632034
Illinois,IL,14-Sep,20,50,0.7905,0.980379475,0.904427685
Indiana,IN,14-Sep,11,50,0.1425,0.21694777,0.187168662
Iowa,IA,14-Sep,6,50,0.314,0.353972678,0.337983607
Kansas,KS,14-Sep,6,50,0.0895,0.086331508,0.087598905
Kentucky,KY,14-Sep,8,50,0.0135,0.245196768,0.152518061
Louisiana,LA,14-Sep,8,50,0.1765,0.328407961,0.267644776
Maine,ME,14-Sep,4,50,0.591,0.920177091,0.788506254
Maryland,MD,14-Sep,10,50,0.889,0.983556382,0.945733829
Massachusetts,MA,14-Sep,11,50,0.9795,0.982387198,0.981232319
Michigan,MI,14-Sep,16,50,0.9645,0.744675179,0.832605107
Minnesota,MN,14-Sep,10,50,0.8765,0.929820352,0.908492211
Mississippi,MS,14-Sep,6,50,0.155,0.137180359,0.144308215
Missouri,MO,14-Sep,10,50,0.1675,0.120384995,0.139230997
Montana,MT,14-Sep,3,50,0.059,0.0787406,0.07084436
Nebraska,NE,14-Sep,5,50,0.2285,0.046977439,0.119586463
Nevada,NV,14-Sep,6,50,0.568,0.755575633,0.68054538
New Hampshire,NH,14-Sep,4,50,0.5945,0.770472938,0.700083763
New Jersey,NJ,14-Sep,14,50,0.865,0.956705967,0.92002358
New Mexico,NM,14-Sep,5,50,0.7335,0.929873556,0.851324134
New York,NY,14-Sep,29,50,0.984,0.955163306,0.966697984
North Carolina,NC,14-Sep,15,50,0.5115,0.420459909,0.456875945
North Dakota,ND,14-Sep,3,50,0.0385,0.012254962,0.022752977
Ohio,OH,14-Sep,18,50,0.3015,0.377368882,0.347021329
Oklahoma,OK,14-Sep,7,50,0.0385,0.045801796,0.042881078
Oregon,OR,14-Sep,7,50,0.7145,0.984984842,0.876790905
Pennsylvania,PA,14-Sep,20,50,0.811,0.726190669,0.760114401
Rhode Island,RI,14-Sep,4,50,0.7155,0.929641358,0.843984815
South Carolina,SC,14-Sep,9,50,0.223,0.19643323,0.207059938
South Dakota,SD,14-Sep,3,50,0.0755,0.013020918,0.038012551
Tennessee,TN,14-Sep,11,50,0.0765,0.319544468,0.222326681
Texas,TX,14-Sep,38,50,0.3335,0.18556533,0.244739198
Utah,UT,14-Sep,6,50,0.145,0.37877746,0.285266476
Vermont,VT,14-Sep,3,50,0.9005,0.975480881,0.945488528
Virginia,VA,14-Sep,13,50,0.8145,0.74546123,0.773076738
Washington,WA,14-Sep,12,50,0.875,0.977381984,0.93642919
West Virginia,WV,14-Sep,5,50,0.032,0.09967624,0.072605744
Wisconsin,WI,14-Sep,10,50,0.6965,0.756583025,0.732549815
Wyoming,WY,14-Sep,3,50,0.0045,0.006693992,0.005816395
Alabama,AL,24-Sep,9,40,0.1065,0.132004383,0.119252192
Alaska,AK,24-Sep,3,40,0.207,0.045289878,0.126144939
Arizona,AZ,24-Sep,11,40,0.762,0.547332296,0.654666148
Arkansas,AR,24-Sep,6,40,0.146,0.384865852,0.265432926
California,CA,24-Sep,55,40,0.9935,0.990503075,0.992001538
Colorado,CO,24-Sep,9,40,0.928,0.774968199,0.8514841
Connecticut,CT,24-Sep,7,40,0.844,0.917809834,0.880904917
Delaware,DE,24-Sep,3,40,0.778,0.966054366,0.872027183
District of Columbia,DC,24-Sep,3,40,0.991,0.995658298,0.993329149
Florida,FL,24-Sep,29,40,0.748,0.560039266,0.654019633
Georgia,GA,24-Sep,16,40,0.387,0.492344744,0.439672372
Hawaii,HI,24-Sep,4,40,0.9365,0.960233819,0.948366909
