State,State_abb,state_fips,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
Alabama,AL,1,24-Oct,9,10,0.0635,0.132004383,0.077200877
Alaska,AK,2,24-Oct,3,10,0.1395,0.045289878,0.120657976
Arizona,AZ,4,24-Oct,11,10,0.7285,0.547332296,0.692266459
Arkansas,AR,5,24-Oct,6,10,0.0555,0.384865852,0.12137317
California,CA,6,24-Oct,55,10,1,0.990503075,0.998100615
Colorado,CO,8,24-Oct,9,10,0.95,0.774968199,0.91499364
Connecticut,CT,9,24-Oct,7,10,0.88,0.917809834,0.887561967
Delaware,DE,10,24-Oct,3,10,0.8405,0.966054366,0.865610873
District of Columbia,DC,11,24-Oct,3,10,0.991,0.995658298,0.99193166
Florida,FL,12,24-Oct,29,10,0.8135,0.560039266,0.762807853
Georgia,GA,13,24-Oct,16,10,0.503,0.492344744,0.500868949
Hawaii,HI,15,24-Oct,4,10,0.97,0.960233819,0.968046764
Idaho,ID,16,24-Oct,4,10,0.038,0.06905339,0.044210678
Illinois,IL,17,24-Oct,20,10,0.8215,0.980379475,0.853275895
Indiana,IN,18,24-Oct,11,10,0.053,0.21694777,0.085789554
Iowa,IA,19,24-Oct,6,10,0.3095,0.353972678,0.318394536
Kansas,KS,20,24-Oct,6,10,0.064,0.086331508,0.068466302
Kentucky,KY,21,24-Oct,8,10,0.004,0.245196768,0.052239354
Louisiana,LA,22,24-Oct,8,10,0.079,0.328407961,0.128881592
Maine,ME,23,24-Oct,4,10,0.823,0.920177091,0.842435418
Maryland,MD,24,24-Oct,10,10,0.965,0.983556382,0.968711276
Massachusetts,MA,25,24-Oct,11,10,0.9865,0.982387198,0.98567744
Michigan,MI,26,24-Oct,16,10,0.991,0.744675179,0.941735036
Minnesota,MN,27,24-Oct,10,10,0.919,0.929820352,0.92116407
Mississippi,MS,28,24-Oct,6,10,0.123,0.137180359,0.125836072
Missouri,MO,29,24-Oct,10,10,0.0465,0.120384995,0.061276999
Montana,MT,30,24-Oct,3,10,0.056,0.0787406,0.06054812
Nebraska,NE,31,24-Oct,5,10,0.239,0.046977439,0.200595488
Nevada,NV,32,24-Oct,6,10,0.6525,0.755575633,0.673115127
New Hampshire,NH,33,24-Oct,4,10,0.95,0.770472938,0.914094588
New Jersey,NJ,34,24-Oct,14,10,0.9345,0.956705967,0.938941193
New Mexico,NM,35,24-Oct,5,10,0.879,0.929873556,0.889174711
New York,NY,36,24-Oct,29,10,0.995,0.955163306,0.987032661
North Carolina,NC,37,24-Oct,15,10,0.6625,0.420459909,0.614091982
North Dakota,ND,38,24-Oct,3,10,0.0065,0.012254962,0.007650992
Ohio,OH,39,24-Oct,18,10,0.431,0.377368882,0.420273776
